team,season,week,plays,passes,neutralPlays,neutralPasses
SF,2024,5,63,37,31,18
ARI,2024,5,56,31,18,12
BAL,2024,5,76,43,36,18
CIN,2024,5,66,42,51,34
BUF,2024,5,59,31,17,8
HOU,2024,5,67,39,14,8
CAR,2024,5,58,39,19,10
CHI,2024,5,67,31,35,12
CLE,2024,5,59,36,22,15
WAS,2024,5,65,31,35,18
DAL,2024,5,75,44,51,33
PIT,2024,5,57,31,40,21
GB,2024,5,56,28,38,20
LA,2024,5,77,48,46,23
IND,2024,5,68,49,39,28
JAX,2024,5,57,34,38,22
LV,2024,5,66,40,37,16
DEN,2024,5,54,29,28,17
MIA,2024,5,76,35,57,31
NE,2024,5,54,35,35,20
NO,2024,5,51,36,15,10
KC,2024,5,77,41,44,28
SEA,2024,5,58,47,29,23
NYG,2024,5,70,37,55,29
NYJ,2024,5,71,57,9,7
MIN,2024,5,64,36,18,9
ATL,2024,5,79,61,54,43
TB,2024,5,50,25,35,20
GB,2024,6,68,32,21,12
ARI,2024,6,55,32,8,4
CAR,2024,6,62,38,29,16
ATL,2024,6,65,30,51,28
NYJ,2024,6,59,38,42,24
BUF,2024,6,57,27,43,21
CIN,2024,6,50,32,40,27
NYG,2024,6,71,41,47,26
PHI,2024,6,58,26,47,21
CLE,2024,6,53,28,29,14
DAL,2024,6,65,48,20,13
DET,2024,6,64,30,19,9
HOU,2024,6,61,34,21,10
NE,2024,6,63,37,5,2
IND,2024,6,66,38,44,27
TEN,2024,6,55,27,40,17
CHI,2024,6,58,32,31,16
JAX,2024,6,60,41,24,13
DEN,2024,6,54,36,6,3
LAC,2024,6,72,37,14,11
PIT,2024,6,61,28,38,19
LV,2024,6,61,42,31,18
SEA,2024,6,72,52,15,7
SF,2024,6,61,28,19,10
TB,2024,6,73,38,41,27
NO,2024,6,66,45,36,22
BAL,2024,6,63,28,50,25
WAS,2024,6,56,38,37,26
TB,2024,7,79,50,33,16
BAL,2024,7,54,24,23,15
CAR,2024,7,42,20,11,6
WAS,2024,7,61,26,10,2
CLE,2024,7,77,57,43,27
CIN,2024,7,50,28,29,20
DEN,2024,7,59,26,31,14
NO,2024,7,65,45,11,8
DET,2024,7,54,29,30,17
MIN,2024,7,53,32,19,9
GB,2024,7,56,36,44,24
HOU,2024,7,58,25,41,21
SF,2024,7,57,33,20,9
KC,2024,7,66,29,43,21
ARI,2024,7,53,26,41,19
LAC,2024,7,63,41,44,28
LV,2024,7,75,46,33,23
LA,2024,7,50,24,24,11
IND,2024,7,60,24,39,17
MIA,2024,7,67,27,54,18
NE,2024,7,55,40,28,17
JAX,2024,7,60,21,11,5
PIT,2024,7,66,30,34,17
NYJ,2024,7,56,41,32,24
NYG,2024,7,54,36,20,15
PHI,2024,7,64,20,26,12
SEA,2024,7,56,30,42,25
ATL,2024,7,70,39,19,12
BUF,2024,7,54,34,36,21
TEN,2024,7,66,42,48,28
MIA,2024,8,64,39,49,31
ARI,2024,8,62,36,21,12
TB,2024,8,70,49,47,28
ATL,2024,8,60,31,46,29
BAL,2024,8,60,39,38,25
CLE,2024,8,67,44,47,29
SEA,2024,8,46,30,22,13
BUF,2024,8,66,35,35,23
DEN,2024,8,71,41,36,24
CAR,2024,8,60,40,22,12
CHI,2024,8,61,28,18,8
WAS,2024,8,72,40,31,16
DAL,2024,8,58,40,34,22
SF,2024,8,63,28,40,21
GB,2024,8,64,28,49,23
JAX,2024,8,56,33,30,15
HOU,2024,8,68,39,52,35
IND,2024,8,61,36,32,19
KC,2024,8,64,38,44,28
LV,2024,8,53,33,40,20
MIN,2024,8,49,28,39,21
LA,2024,8,63,34,47,28
LAC,2024,8,63,35,42,22
NO,2024,8,68,47,35,23
PIT,2024,8,61,31,45,25
NYG,2024,8,68,43,42,23
NE,2024,8,64,33,38,16
NYJ,2024,8,58,30,41,21
CIN,2024,8,57,38,50,34
PHI,2024,8,59,20,40,16
DET,2024,8,47,23,17,11
TEN,2024,8,71,39,20,12
ARI,2024,9,57,23,30,14
CHI,2024,9,69,47,28,18
ATL,2024,9,54,27,34,19
DAL,2024,9,74,53,24,18
DEN,2024,9,67,38,20,11
BAL,2024,9,53,20,23,13
GB,2024,9,63,40,27,14
DET,2024,9,52,23,26,13
HOU,2024,9,74,39,49,22
NYJ,2024,9,54,34,43,27
IND,2024,9,48,30,29,17
MIN,2024,9,70,39,55,34
PHI,2024,9,73,28,34,14
JAX,2024,9,52,35,11,6
LAC,2024,9,54,33,19,12
CLE,2024,9,76,52,21,13
SEA,2024,9,73,41,40,20
LA,2024,9,68,44,41,29
LV,2024,9,59,38,27,15
CIN,2024,9,69,40,38,25
BUF,2024,9,59,40,42,26
MIA,2024,9,59,29,41,19
TEN,2024,9,73,34,48,25
NE,2024,9,64,44,38,23
NO,2024,9,75,34,53,23
CAR,2024,9,49,28,37,20
KC,2024,9,83,48,50,31
TB,2024,9,52,33,36,22
NYG,2024,9,61,30,28,7
WAS,2024,9,57,22,29,11
ATL,2024,10,73,41,14,7
NO,2024,10,51,25,38,19
BUF,2024,10,69,39,49,31
IND,2024,10,61,39,43,24
CIN,2024,10,76,60,50,37
BAL,2024,10,58,33,25,16
DEN,2024,10,55,32,40,26
KC,2024,10,65,46,39,26
DET,2024,10,63,30,10,6
HOU,2024,10,65,37,26,14
MIA,2024,10,52,31,29,17
LA,2024,10,67,49,28,16
JAX,2024,10,43,25,34,18
MIN,2024,10,80,39,55,31
NE,2024,10,60,26,33,16
CHI,2024,10,59,39,29,15
CAR,2024,10,58,26,30,12
NYG,2024,10,71,38,8,5
ARI,2024,10,56,25,15,7
NYJ,2024,10,55,38,10,5
DAL,2024,10,56,32,31,14
PHI,2024,10,64,27,30,18
PIT,2024,10,72,32,40,21
WAS,2024,10,59,37,49,29
SF,2024,10,59,38,41,24
TB,2024,10,58,31,28,15
LAC,2024,10,55,18,41,17
TEN,2024,10,51,30,32,17
DEN,2024,11,60,34,21,12
ATL,2024,11,55,34,18,11
BAL,2024,11,54,36,41,24
PIT,2024,11,72,40,51,31
CIN,2024,11,78,53,23,15
LAC,2024,11,62,37,17,9
CLE,2024,11,71,51,21,12
NO,2024,11,56,30,30,17
GB,2024,11,43,18,32,15
CHI,2024,11,69,35,51,23
HOU,2024,11,60,35,44,28
DAL,2024,11,79,61,31,22
NYJ,2024,11,52,32,19,10
IND,2024,11,69,33,41,18
JAX,2024,11,47,30,11,5
DET,2024,11,74,33,22,11
KC,2024,11,52,35,37,23
BUF,2024,11,69,40,53,32
NE,2024,11,72,42,34,22
LA,2024,11,48,27,31,17
MIA,2024,11,63,37,49,30
LV,2024,11,63,46,32,18
TEN,2024,11,55,36,21,10
MIN,2024,11,66,34,29,16
SF,2024,11,57,30,42,22
SEA,2024,11,59,36,38,25
PHI,2024,11,69,30,56,28
WAS,2024,11,64,36,38,18
ARI,2024,12,56,42,35,24
SEA,2024,12,59,36,36,23
LAC,2024,12,60,40,43,26
BAL,2024,12,59,24,33,16
DAL,2024,12,61,33,43,24
WAS,2024,12,67,41,46,25
LV,2024,12,73,57,43,29
DEN,2024,12,65,43,47,30
IND,2024,12,48,28,24,11
DET,2024,12,71,39,25,11
KC,2024,12,68,42,50,31
CAR,2024,12,59,37,17,12
CHI,2024,12,74,52,47,30
MIN,2024,12,65,38,41,23
NE,2024,12,63,43,17,7
MIA,2024,12,63,42,21,14
LA,2024,12,60,42,24,14
PHI,2024,12,66,23,49,19
PIT,2024,12,68,34,48,22
CLE,2024,12,57,30,33,16
GB,2024,12,67,25,21,8
SF,2024,12,46,31,3,2
TB,2024,12,62,30,23,13
NYG,2024,12,55,36,8,3
HOU,2024,12,54,37,22,15
TEN,2024,12,64,33,53,27
ARI,2024,13,76,45,55,32
MIN,2024,13,50,36,28,18
DET,2024,13,69,36,24,11
CHI,2024,13,59,44,3,2
DEN,2024,13,59,35,48,29
CLE,2024,13,85,62,50,31
JAX,2024,13,69,44,39,21
HOU,2024,13,58,36,45,30
NE,2024,13,66,35,50,27
IND,2024,13,58,24,35,11
ATL,2024,13,77,40,53,26
LAC,2024,13,44,30,37,25
NO,2024,13,69,38,48,29
LA,2024,13,53,26,43,20
KC,2024,13,65,50,43,32
LV,2024,13,62,37,34,18
GB,2024,13,53,28,18,7
MIA,2024,13,67,53,5,2
DAL,2024,13,66,36,43,27
NYG,2024,13,59,38,36,20
PHI,2024,13,52,21,22,13
BAL,2024,13,71,39,46,22
CIN,2024,13,57,42,37,23
PIT,2024,13,64,40,48,33
SEA,2024,13,56,34,30,21
NYJ,2024,13,62,41,35,21
BUF,2024,13,53,18,17,5
SF,2024,13,46,19,16,5
CAR,2024,13,68,47,52,35
TB,2024,13,76,38,45,25
TEN,2024,13,51,40,8,5
WAS,2024,13,76,32,14,5
ATL,2024,14,71,38,50,25
MIN,2024,14,53,32,34,21
LA,2024,14,72,30,33,11
BUF,2024,14,54,37,13,9
CAR,2024,14,68,35,45,19
PHI,2024,14,56,25,42,18
SF,2024,14,60,27,16,9
CHI,2024,14,53,32,8,6
CIN,2024,14,63,46,41,31
DAL,2024,14,59,34,47,25
PIT,2024,14,60,27,41,21
CLE,2024,14,69,44,37,22
DET,2024,14,76,42,56,32
GB,2024,14,44,21,18,10
TEN,2024,14,62,34,43,24
JAX,2024,14,57,32,42,27
KC,2024,14,63,40,48,35
LAC,2024,14,57,33,26,17
TB,2024,14,59,33,35,21
LV,2024,14,63,39,28,13
NO,2024,14,65,33,53,29
NYG,2024,14,74,51,36,23
MIA,2024,14,66,47,35,21
NYJ,2024,14,63,42,46,30
ARI,2024,14,63,40,14,8
SEA,2024,14,61,30,27,14
LV,2024,15,64,42,32,14
ATL,2024,15,57,20,32,13
BAL,2024,15,58,28,28,16
NYG,2024,15,59,40,15,8
DET,2024,15,75,60,14,12
BUF,2024,15,67,34,38,20
CHI,2024,15,63,35,12,5
MIN,2024,15,71,42,8,4
CIN,2024,15,63,37,39,27
TEN,2024,15,64,38,25,10
DAL,2024,15,68,29,31,15
CAR,2024,15,50,34,22,11
GB,2024,15,61,27,18,6
SEA,2024,15,56,40,4,3
IND,2024,15,72,40,47,21
DEN,2024,15,58,34,32,20
KC,2024,15,73,40,30,16
CLE,2024,15,59,39,21,13
SF,2024,15,53,34,40,26
LA,2024,15,65,27,46,19
MIA,2024,15,62,43,34,22
HOU,2024,15,46,30,31,22
NE,2024,15,49,25,9,6
ARI,2024,15,63,32,20,12
JAX,2024,15,78,49,53,31
NYJ,2024,15,54,32,35,18
PIT,2024,15,41,24,23,16
PHI,2024,15,74,35,54,28
TB,2024,15,67,28,46,24
LAC,2024,15,48,37,35,25
NO,2024,15,51,35,11,5
WAS,2024,15,74,39,30,18
ARI,2024,16,64,35,21,11
CAR,2024,16,64,29,38,13
CLE,2024,16,63,39,14,6
CIN,2024,16,55,34,27,18
LAC,2024,16,60,34,21,8
DEN,2024,16,63,42,31,19
CHI,2024,16,59,42,5,3
DET,2024,16,64,33,15,7
HOU,2024,16,58,41,42,30
KC,2024,16,68,42,50,32
JAX,2024,16,61,40,50,30
LV,2024,16,65,41,46,29
LA,2024,16,47,19,32,12
NYJ,2024,16,63,43,46,28
MIN,2024,16,59,38,46,29
SEA,2024,16,60,45,30,23
NE,2024,16,68,38,48,25
BUF,2024,16,58,30,37,23
GB,2024,16,67,30,27,13
NO,2024,16,53,33,6,2
ATL,2024,16,63,27,28,13
NYG,2024,16,55,42,27,18
WAS,2024,16,64,39,9,5
PHI,2024,16,71,32,33,12
BAL,2024,16,59,24,47,22
PIT,2024,16,59,35,37,21
SF,2024,16,59,41,37,25
MIA,2024,16,63,34,49,30
DAL,2024,16,53,36,32,23
TB,2024,16,70,47,15,9
TEN,2024,16,58,36,23,14
IND,2024,16,62,12,29,7
LA,2024,17,53,32,36,23
ARI,2024,17,74,52,42,29
ATL,2024,17,60,37,39,21
WAS,2024,17,76,41,33,20
BAL,2024,17,61,18,14,4
HOU,2024,17,54,37,6,3
TB,2024,17,71,34,30,14
CAR,2024,17,46,33,12,8
DAL,2024,17,60,30,29,13
PHI,2024,17,59,19,26,13
DEN,2024,17,60,33,36,18
CIN,2024,17,83,56,50,32
SF,2024,17,59,41,32,16
DET,2024,17,67,37,23,13
GB,2024,17,58,34,26,12
MIN,2024,17,67,44,34,23
IND,2024,17,74,41,22,11
NYG,2024,17,49,23,13,5
PIT,2024,17,73,42,20,10
KC,2024,17,59,39,42,30
LAC,2024,17,77,40,28,17
NE,2024,17,48,28,6,3
LV,2024,17,72,36,56,29
NO,2024,17,53,40,31,22
MIA,2024,17,55,29,33,20
CLE,2024,17,76,48,34,18
BUF,2024,17,60,28,28,15
NYJ,2024,17,59,38,19,9
SEA,2024,17,50,26,43,22
CHI,2024,17,58,35,37,22
JAX,2024,17,56,24,28,11
TEN,2024,17,64,34,19,8
NE,2024,18,58,31,40,23
BUF,2024,18,65,32,49,21
ATL,2024,18,77,39,56,28
CAR,2024,18,64,35,42,23
GB,2024,18,62,29,42,17
CHI,2024,18,56,30,35,19
CIN,2024,18,70,50,48,36
PIT,2024,18,58,35,16,10
CLE,2024,18,54,36,16,7
BAL,2024,18,66,31,19,8
HOU,2024,18,57,29,18,11
TEN,2024,18,61,29,8,3
IND,2024,18,77,43,54,32
JAX,2024,18,66,34,42,22
DEN,2024,18,71,29,16,8
KC,2024,18,33,22,3,1
LV,2024,18,47,36,22,14
LAC,2024,18,71,37,56,34
MIA,2024,18,68,45,27,16
NYJ,2024,18,63,40,33,22
DET,2024,18,66,35,47,27
MIN,2024,18,61,43,44,30
NO,2024,18,63,44,51,33
TB,2024,18,63,33,20,14
NYG,2024,18,54,29,28,12
PHI,2024,18,67,43,38,26
LA,2024,18,66,45,30,18
SEA,2024,18,53,30,41,23
SF,2024,18,71,44,42,27
ARI,2024,18,63,35,50,32
WAS,2024,18,54,37,32,22
DAL,2024,18,75,36,60,31
ARI,2025,1,61,34,37,22
NO,2025,1,67,45,28,15
BUF,2025,1,77,49,13,7
BAL,2025,1,50,21,32,14
JAX,2025,1,60,30,27,14
CAR,2025,1,60,36,23,12
CIN,2025,1,49,26,37,20
CLE,2025,1,71,47,48,29
DAL,2025,1,55,33,43,22
PHI,2025,1,59,24,42,17
GB,2025,1,46,22,20,14
DET,2025,1,64,43,3,2
HOU,2025,1,57,30,44,22
LA,2025,1,55,32,38,21
KC,2025,1,58,41,23,13
LAC,2025,1,59,37,44,27
LV,2025,1,60,37,43,31
NE,2025,1,68,50,51,34
IND,2025,1,70,30,22,11
MIA,2025,1,47,35,5,3
MIN,2025,1,51,25,22,11
CHI,2025,1,63,37,34,19
WAS,2025,1,62,33,25,13
NYG,2025,1,62,39,21,13
NYJ,2025,1,64,24,44,15
PIT,2025,1,53,34,25,16
SEA,2025,1,49,23,33,14
SF,2025,1,70,36,51,24
ATL,2025,1,70,43,45,29
TB,2025,1,55,33,42,23
TEN,2025,1,55,34,37,20
DEN,2025,1,69,41,51,34
ATL,2025,2,62,24,42,20
MIN,2025,2,46,27,38,21
NYJ,2025,2,47,26,4,1
BUF,2025,2,67,28,17,6
CAR,2025,2,78,58,17,12
ARI,2025,2,47,26,20,10
DET,2025,2,58,28,35,21
CHI,2025,2,64,37,25,14
CLE,2025,2,72,50,17,11
BAL,2025,2,50,32,27,18
IND,2025,2,67,35,33,17
DEN,2025,2,54,30,42,25
JAX,2025,2,70,43,48,29
CIN,2025,2,65,48,44,31
LV,2025,2,65,46,29,17
LAC,2025,2,53,29,22,14
TEN,2025,2,64,38,48,24
LA,2025,2,57,34,40,26
NE,2025,2,53,26,44,21
MIA,2025,2,52,37,17,10
NYG,2025,2,65,44,45,30
DAL,2025,2,83,55,38,26
PHI,2025,2,56,24,37,20
KC,2025,2,57,31,44,22
SEA,2025,2,64,35,49,29
PIT,2025,2,59,38,41,23
NO,2025,2,67,37,17,10
SF,2025,2,64,41,42,26
HOU,2025,2,46,28,32,19
TB,2025,2,73,43,51,28
GB,2025,2,61,33,29,16
WAS,2025,2,65,46,12,9
ARI,2025,3,64,36,50,30
SF,2025,3,60,41,40,28
ATL,2025,3,66,43,23,16
CAR,2025,3,54,25,23,14
MIN,2025,3,58,27,9,5
CIN,2025,3,52,31,8,4
CHI,2025,3,55,28,23,13
DAL,2025,3,68,48,16,9
LAC,2025,3,80,52,57,36
DEN,2025,3,47,27,29,14
DET,2025,3,65,28,51,23
BAL,2025,3,55,36,35,22
CLE,2025,3,56,37,29,19
GB,2025,3,60,30,44,22
HOU,2025,3,57,39,37,24
JAX,2025,3,65,42,45,30
TEN,2025,3,65,42,10,7
IND,2025,3,50,25,17,10
NYG,2025,3,61,34,29,13
KC,2025,3,64,39,46,30
LA,2025,3,65,34,38,18
PHI,2025,3,63,37,18,9
WAS,2025,3,53,21,29,12
LV,2025,3,64,35,26,12
MIA,2025,3,59,34,42,24
BUF,2025,3,57,30,43,25
NO,2025,3,70,43,9,4
SEA,2025,3,53,21,6,3
NYJ,2025,3,61,39,30,17
TB,2025,3,63,30,28,15
NE,2025,3,71,42,45,24
PIT,2025,3,46,23,32,16
BAL,2025,4,53,36,23,15
KC,2025,4,68,38,32,21
CAR,2025,4,65,37,19,11
NE,2025,4,45,19,9,3
CHI,2025,4,64,39,39,24
LV,2025,4,51,20,38,15
CIN,2025,4,42,28,20,12
DEN,2025,4,77,42,20,11
DET,2025,4,54,27,23,13
CLE,2025,4,64,38,26,14
GB,2025,4,78,44,38,22
DAL,2025,4,67,41,26,16
IND,2025,4,55,35,37,24
LA,2025,4,67,43,52,32
SF,2025,4,64,40,25,13
JAX,2025,4,60,31,35,17
LAC,2025,4,57,43,25,17
NYG,2025,4,70,27,49,21
PIT,2025,4,51,24,13,10
MIN,2025,4,72,52,15,9
BUF,2025,4,54,25,38,17
NO,2025,4,66,31,37,13
MIA,2025,4,56,25,37,18
NYJ,2025,4,58,29,12,1
TB,2025,4,67,41,8,6
PHI,2025,4,58,26,8,6
ARI,2025,4,64,47,28,20
SEA,2025,4,64,29,30,12
TEN,2025,4,45,27,31,18
HOU,2025,4,66,31,51,24
ATL,2025,4,61,27,38,20
WAS,2025,4,51,29,16,11
NYJ,2025,5,73,52,28,15
DAL,2025,5,56,30,29,17
DEN,2025,5,71,42,32,22
PHI,2025,5,54,44,34,26
DET,2025,5,59,28,25,12
CIN,2025,5,58,42,10,8
HOU,2025,5,64,33,25,13
BAL,2025,5,40,21,14,7
JAX,2025,5,54,28,25,12
KC,2025,5,63,41,42,29
IND,2025,5,61,35,20,13
LV,2025,5,65,40,19,11
MIA,2025,5,53,39,33,21
CAR,2025,5,62,32,19,11
CLE,2025,5,66,34,52,26
MIN,2025,5,60,38,37,20
NE,2025,5,56,34,42,26
BUF,2025,5,61,32,43,22
NO,2025,5,61,32,37,23
NYG,2025,5,69,40,42,20
SF,2025,5,82,49,41,23
LA,2025,5,63,47,6,3
TB,2025,5,58,35,45,26
SEA,2025,5,54,34,25,14
ARI,2025,5,64,35,15,7
TEN,2025,5,61,41,11,3
LAC,2025,5,63,37,26,13
WAS,2025,5,54,26,23,17
IND,2025,6,56,31,41,24
ARI,2025,6,70,46,52,33
ATL,2025,6,65,34,25,12
BUF,2025,6,54,30,24,13
CHI,2025,6,59,33,45,26
WAS,2025,6,59,29,34,18
GB,2025,6,59,27,41,16
CIN,2025,6,61,45,11,6
PIT,2025,6,55,30,42,25
CLE,2025,6,75,58,18,10
DAL,2025,6,52,34,40,25
CAR,2025,6,62,26,42,17
DEN,2025,6,55,31,38,22
NYJ,2025,6,57,26,43,20
DET,2025,6,53,30,31,12
KC,2025,6,58,33,34,22
MIA,2025,6,56,35,30,20
LAC,2025,6,64,39,47,31
BAL,2025,6,74,37,37,13
LA,2025,6,49,28,36,26
NO,2025,6,51,28,21,13
NE,2025,6,56,27,36,17
PHI,2025,6,56,36,30,15
NYG,2025,6,64,28,40,18
JAX,2025,6,68,49,36,24
SEA,2025,6,51,28,32,18
TB,2025,6,50,24,36,19
SF,2025,6,67,45,47,29
TEN,2025,6,58,43,17,11
LV,2025,6,54,25,23,11
ATL,2025,7,60,40,39,27
SF,2025,7,64,27,47,22
NYJ,2025,7,60,40,31,15
CAR,2025,7,68,34,42,22
ARI,2025,7,70,42,47,27
GB,2025,7,52,30,37,22
SEA,2025,7,65,34,22,10
HOU,2025,7,70,53,9,5
IND,2025,7,55,35,22,11
LAC,2025,7,74,58,8,5
JAX,2025,7,74,55,6,5
LA,2025,7,58,33,19,14
LV,2025,7,30,19,10,8
KC,2025,7,74,36,26,15
CLE,2025,7,52,20,28,7
MIA,2025,7,57,35,11,5
TEN,2025,7,51,39,27,17
NE,2025,7,62,28,40,20
CHI,2025,7,65,27,31,12
NO,2025,7,53,36,16,10
NYG,2025,7,70,38,26,17
DEN,2025,7,77,53,19,11
PHI,2025,7,48,26,24,12
MIN,2025,7,67,44,14,8
PIT,2025,7,54,34,31,19
CIN,2025,7,69,49,41,29
DET,2025,7,65,33,35,18
TB,2025,7,66,55,17,13
DAL,2025,7,60,31,15,10
WAS,2025,7,64,36,14,7
CAR,2025,8,59,31,18,7
BUF,2025,8,60,25,24,12
CHI,2025,8,62,39,33,20
BAL,2025,8,59,24,42,20
NE,2025,8,62,30,42,22
CLE,2025,8,53,37,23,13
DEN,2025,8,56,30,18,9
DAL,2025,8,68,37,10,6
GB,2025,8,63,38,30,19
PIT,2025,8,58,40,37,21
MIA,2025,8,65,28,34,18
ATL,2025,8,48,32,17,9
MIN,2025,8,47,36,9,6
LAC,2025,8,70,27,22,8
PHI,2025,8,54,24,30,14
NYG,2025,8,49,29,22,11
CIN,2025,8,58,35,28,18
NYJ,2025,8,70,33,4,0
HOU,2025,8,74,39,33,19
SF,2025,8,45,35,7,5
NO,2025,8,70,55,27,20
TB,2025,8,56,27,38,18
IND,2025,8,52,34,23,15
TEN,2025,8,66,41,7,3
WAS,2025,8,52,32,37,21
KC,2025,8,66,37,45,27
DAL,2025,9,64,43,13,8
ARI,2025,9,63,36,33,20
ATL,2025,9,54,38,16,13
NE,2025,9,65,35,44,23
MIA,2025,9,61,41,15,8
BAL,2025,9,54,25,14,7
CAR,2025,9,54,21,42,16
GB,2025,9,63,38,43,26
CHI,2025,9,77,40,63,33
CIN,2025,9,65,51,30,20
HOU,2025,9,72,44,51,30
DEN,2025,9,62,39,28,19
PIT,2025,9,60,38,35,24
IND,2025,9,73,54,32,21
JAX,2025,9,76,34,48,23
LV,2025,9,61,42,37,25
BUF,2025,9,63,29,32,18
KC,2025,9,58,38,22,11
TEN,2025,9,44,25,34,18
LAC,2025,9,64,35,48,30
DET,2025,9,62,42,36,24
MIN,2025,9,55,30,43,25
NO,2025,9,39,25,9,6
LA,2025,9,73,34,26,17
WAS,2025,9,62,26,15,6
SEA,2025,9,48,24,19,9
NYG,2025,9,56,35,21,12
SF,2025,9,63,26,29,15
SEA,2025,10,54,13,7,4
ARI,2025,10,74,51,3,2
IND,2025,10,75,34,50,23
ATL,2025,10,60,32,35,18
BAL,2025,10,66,31,46,24
MIN,2025,10,62,44,28,17
MIA,2025,10,51,21,18,7
BUF,2025,10,66,44,9,6
CLE,2025,10,70,38,54,31
NYJ,2025,10,45,14,32,13
WAS,2025,10,52,25,9,6
DET,2025,10,68,35,19,11
HOU,2025,10,72,49,3,3
JAX,2025,10,56,29,11,4
LA,2025,10,64,37,29,19
SF,2025,10,61,40,3,2
LV,2025,10,58,33,44,26
DEN,2025,10,55,30,41,24
TB,2025,10,67,45,28,17
NE,2025,10,58,32,43,25
CAR,2025,10,50,27,42,23
NO,2025,10,64,30,44,23
CHI,2025,10,62,36,32,18
NYG,2025,10,70,40,40,25
GB,2025,10,65,38,40,18
PHI,2025,10,60,26,43,19
PIT,2025,10,50,34,22,13
LAC,2025,10,68,38,36,24
CLE,2025,11,54,29,38,18
BAL,2025,11,58,30,37,22
ATL,2025,11,58,30,35,16
CAR,2025,11,76,52,35,24
MIN,2025,11,54,32,31,19
CHI,2025,11,73,34,41,20
PIT,2025,11,59,32,47,25
CIN,2025,11,63,41,41,26
DAL,2025,11,61,34,30,18
LV,2025,11,57,46,20,16
PHI,2025,11,68,29,47,24
DET,2025,11,59,39,46,27
NYG,2025,11,68,31,43,17
GB,2025,11,52,29,41,21
HOU,2025,11,68,45,51,33
TEN,2025,11,57,40,36,24
DEN,2025,11,60,40,39,26
KC,2025,11,62,48,50,38
LAC,2025,11,45,29,22,12
JAX,2025,11,69,22,26,11
NYJ,2025,11,57,29,29,10
NE,2025,11,60,35,46,27
LA,2025,11,50,28,35,22
SEA,2025,11,79,44,24,14
SF,2025,11,50,28,14,8
ARI,2025,11,73,58,8,7
TB,2025,11,69,31,57,22
BUF,2025,11,54,31,34,21
MIA,2025,11,54,23,32,16
WAS,2025,11,64,31,45,23
ATL,2025,12,54,25,34,21
NO,2025,12,78,50,20,14
HOU,2025,12,55,30,48,25
BUF,2025,12,65,42,38,23
SF,2025,12,68,32,52,28
CAR,2025,12,44,31,23,12
CLE,2025,12,47,21,13,7
LV,2025,12,75,54,13,8
IND,2025,12,49,31,24,16
KC,2025,12,92,51,21,12
ARI,2025,12,76,56,50,34
JAX,2025,12,60,33,37,21
MIN,2025,12,44,24,29,12
GB,2025,12,63,23,37,16
NE,2025,12,66,36,37,22
CIN,2025,12,61,38,41,21
NYG,2025,12,76,38,40,22
DET,2025,12,63,43,30,20
NYJ,2025,12,57,31,37,16
BAL,2025,12,56,24,41,18
DAL,2025,12,65,36,9,4
PHI,2025,12,58,40,22,15
CHI,2025,12,59,35,51,32
PIT,2025,12,69,33,39,15
TEN,2025,12,68,46,23,12
SEA,2025,12,46,27,17,10
TB,2025,12,67,38,14,6
LA,2025,12,55,36,10,9
TB,2025,13,54,30,42,24
ARI,2025,13,60,41,28,18
ATL,2025,13,67,35,53,25
NYJ,2025,13,62,35,35,21
BUF,2025,13,74,23,46,14
PIT,2025,13,43,25,27,16
CHI,2025,13,84,38,65,32
PHI,2025,13,50,33,31,16
CIN,2025,13,80,47,63,43
BAL,2025,13,56,35,29,18
DEN,2025,13,69,46,48,30
WAS,2025,13,85,53,45,23
GB,2025,13,57,30,47,26
DET,2025,13,60,30,15,5
IND,2025,13,51,28,36,22
HOU,2025,13,71,37,53,33
JAX,2025,13,55,30,15,8
TEN,2025,13,55,41,10,5
DAL,2025,13,63,40,42,27
KC,2025,13,60,37,48,26
LA,2025,13,50,30,34,21
CAR,2025,13,59,22,48,16
LV,2025,13,45,28,24,12
LAC,2025,13,65,24,49,20
MIN,2025,13,49,34,20,15
SEA,2025,13,62,30,27,15
MIA,2025,13,56,26,19,11
NO,2025,13,71,43,9,6
NE,2025,13,61,34,11,7
NYG,2025,13,54,27,5,4
SF,2025,13,64,32,43,23
CLE,2025,13,61,29,42,15
CHI,2025,14,69,36,28,11
GB,2025,14,51,26,40,22
CIN,2025,14,57,38,32,17
BUF,2025,14,58,32,20,10
DET,2025,14,55,35,23,17
DAL,2025,14,77,53,29,18
DEN,2025,14,72,41,48,31
LV,2025,14,47,35,25,16
KC,2025,14,63,34,29,14
HOU,2025,14,65,34,30,18
JAX,2025,14,60,31,17,11
IND,2025,14,63,38,17,7
ARI,2025,14,61,47,25,18
LA,2025,14,64,31,32,18
MIA,2025,14,61,22,9,4
NYJ,2025,14,57,40,3,2
NO,2025,14,53,23,35,15
TB,2025,14,69,30,53,21
PHI,2025,14,65,41,43,25
LAC,2025,14,71,33,42,20
BAL,2025,14,75,35,20,9
PIT,2025,14,50,34,34,24
ATL,2025,14,62,31,38,16
SEA,2025,14,58,32,34,22
TEN,2025,14,64,29,46,22
CLE,2025,14,66,45,39,23
MIN,2025,14,57,27,26,12
WAS,2025,14,49,26,15,9
HOU,2025,15,60,29,6,2
ARI,2025,15,64,43,0,0
TB,2025,15,62,40,48,31
