season,week,playerId,position,points,touches,tds,dealt
2024,3,00-0031544,WR,9.9853,8.1000,0.1000,19.18 6.03 1.58 3.86 4.45 7.32 7.42 5.54 14.64 8.01 7.42 19.28 12.56 1.48 0.00 3.26 20.17 10.58 5.24 12.26 8.21 5.44 18.89 13.45 1.98 13.25 4.45 12.95 16.81 23.24 0.00 15.82 5.34 18.59 4.25 12.46 2.67 17.60 19.78 13.94
2024,3,00-0031547,WR,4.5803,4.1500,0.0000,5.58 5.27 2.38 4.03 8.47 0.00 5.68 2.17 4.03 0.00 1.24 4.34 4.65 3.93 8.16 7.65 4.86 3.20 3.62 8.37 4.75 1.86 0.00 8.27 4.13 2.07 3.41 11.78 8.16 9.20 1.24 4.34 0.00 7.75 2.27 12.40 5.89 2.07 5.99 0.00
2024,3,00-0031549,WR,3.5988,2.1250,0.1000,2.50 0.00 0.00 19.16 4.46 4.14 3.81 6.21 5.88 6.10 0.00 0.00 2.18 3.92 0.00 0.00 1.52 1.96 0.00 5.55 10.67 0.00 1.42 11.00 10.89 0.00 0.00 0.00 0.00 14.16 8.28 3.92 6.53 1.63 2.61 0.00 0.00 5.44 0.00 0.00
2024,3,00-0031588,WR,11.9333,7.4250,0.4000,4.69 19.95 0.53 20.80 11.95 10.35 29.87 23.36 19.20 9.71 1.71 3.31 13.33 16.21 24.00 18.99 12.05 10.24 16.64 1.28 11.95 10.24 6.40 12.48 11.73 13.76 2.67 24.85 11.20 6.83 2.45 6.93 20.16 6.40 4.27 6.19 7.15 16.00 8.75 18.77
2024,3,00-0031610,TE,3.7502,4.8750,0.1250,0.00 1.40 7.70 5.39 1.26 4.34 3.71 1.75 8.40 0.00 17.01 2.24 6.65 2.38 6.72 1.26 1.19 2.03 11.83 3.29 0.00 2.38 2.59 4.62 2.24 2.03 3.15 1.82 2.10 3.50 4.69 3.29 2.10 6.23 5.74 2.17 2.45 1.40 5.46 3.50
2024,3,00-0031763,WR,2.5499,2.2500,0.0250,0.00 5.63 2.86 0.00 0.83 0.00 2.49 0.00 6.55 0.00 8.58 0.00 1.11 5.53 4.52 4.89 0.00 10.05 1.57 3.78 3.87 1.38 0.00 1.11 1.94 4.80 0.00 5.90 4.70 0.00 5.81 0.00 0.00 1.94 1.66 1.94 4.52 2.67 0.00 1.38
2024,3,00-0031941,WR,1.2855,1.1000,0.0250,1.88 1.63 2.14 0.00 1.54 0.00 3.68 0.00 0.00 2.22 1.54 0.00 0.00 0.00 1.37 1.28 1.63 1.03 1.54 3.51 0.00 1.63 0.00 2.82 0.00 0.00 0.00 2.74 6.33 3.51 3.34 0.00 0.00 4.11 0.00 0.00 1.97 0.00 0.00 0.00
2024,3,00-0032104,RB,1.2437,1.6500,0.0000,0.00 0.00 1.21 0.81 0.00 0.00 0.40 0.00 0.00 0.00 3.34 0.00 4.65 0.61 3.84 0.71 4.04 0.00 0.00 3.03 1.21 0.81 3.34 0.91 3.13 0.91 0.40 0.00 3.74 0.00 1.52 0.00 1.82 3.74 0.51 1.82 0.00 3.24 0.00 0.00
2024,3,00-0032128,WR,16.3143,5.9000,0.7500,9.76 18.29 3.93 13.69 10.44 12.23 10.66 12.79 17.17 4.71 2.24 16.61 15.82 2.13 38.83 24.35 19.53 40.74 27.94 17.96 23.23 7.74 45.90 15.71 15.26 4.71 9.65 29.29 13.69 10.66 18.07 6.17 25.70 19.08 1.57 13.02 37.37 3.48 17.51 14.93
2024,3,00-0032211,WR,9.4185,6.4250,0.1750,7.79 8.09 12.03 7.99 10.82 4.55 6.47 9.81 10.82 0.00 6.98 7.99 11.53 12.13 9.00 10.21 1.11 15.87 17.19 4.25 19.72 16.89 2.22 9.50 2.43 17.59 12.94 3.24 13.65 21.94 7.58 12.54 16.99 3.24 8.70 7.08 5.86 11.83 4.55 3.64
2024,3,00-0032385,WR,3.0044,2.9250,0.0500,5.17 0.00 5.27 2.17 0.00 4.03 3.51 0.00 2.79 1.65 3.51 1.76 0.00 1.76 9.09 1.96 3.62 1.45 0.00 1.86 1.34 0.00 1.34 2.58 9.51 4.55 0.00 1.24 1.55 1.34 3.72 0.00 9.30 0.00 0.00 12.19 1.34 1.96 11.78 6.82
2024,3,00-0032392,TE,3.1706,2.4500,0.1750,1.01 0.00 11.05 0.00 3.54 0.00 1.37 0.00 0.00 10.98 0.00 1.08 3.54 0.72 0.00 1.44 1.08 7.44 1.44 3.83 1.37 2.24 4.12 5.34 1.23 11.56 0.72 6.14 2.17 3.47 1.30 2.53 8.59 4.84 1.23 0.00 9.10 2.74 4.12 5.49
2024,3,00-0032394,TE,1.4467,1.2750,0.0000,0.00 1.60 2.31 0.00 1.16 0.00 1.24 1.60 3.02 1.60 0.00 1.24 1.51 0.00 1.07 1.42 4.44 0.00 2.31 7.47 2.58 3.11 2.84 0.00 2.13 0.00 0.00 1.51 2.58 1.24 0.00 0.00 0.00 0.00 1.42 0.00 0.00 3.64 3.64 1.16
2024,3,00-0032398,WR,4.3839,2.5750,0.0750,8.41 1.51 4.74 1.19 6.04 5.82 6.90 0.00 3.77 4.31 2.48 3.02 0.00 25.11 8.51 0.00 3.02 0.00 0.00 11.53 6.57 6.79 2.16 0.43 0.00 2.16 0.00 0.00 2.16 10.35 5.28 0.00 1.51 4.85 19.08 9.16 1.83 3.45 0.00 3.23
2024,3,00-0032464,WR,6.2069,1.9750,0.2000,1.94 14.90 6.90 14.90 2.66 0.00 2.42 0.00 4.60 4.97 19.98 11.99 0.85 5.81 0.97 13.20 22.77 18.53 0.00 1.82 6.54 4.00 0.00 5.69 2.30 11.75 4.72 3.39 17.68 3.51 0.85 0.00 1.70 8.96 0.00 8.72 0.00 0.00 8.60 10.66
2024,3,00-0032688,WR,2.5917,1.6250,0.0750,1.67 0.00 7.58 3.00 3.42 1.50 1.50 2.42 1.67 1.58 0.00 0.00 15.67 5.92 1.58 0.00 0.00 2.83 13.33 1.25 2.00 0.00 2.00 3.83 3.25 0.00 0.00 7.25 0.00 3.58 0.00 0.00 1.67 1.08 2.92 5.17 0.00 0.00 0.00 6.00
2024,3,00-0032764,RB,10.2274,13.0250,0.4750,11.32 13.72 16.99 14.48 11.65 9.47 1.74 8.60 19.93 3.38 4.14 3.92 4.14 20.14 6.21 18.73 7.19 4.36 7.51 5.66 14.16 8.17 14.16 6.32 12.41 2.29 16.88 16.44 3.05 0.98 17.31 12.20 3.92 4.90 29.51 25.37 4.03 11.32 10.24 2.18
2024,3,00-0032775,WR,8.8956,5.2500,0.3000,1.28 0.00 17.28 9.50 1.80 18.14 3.76 0.00 5.48 1.80 5.99 3.76 1.37 14.12 17.45 12.32 2.14 19.85 17.54 6.76 3.94 7.10 8.73 4.02 9.84 12.32 12.32 0.00 12.92 5.65 21.99 19.93 3.51 1.63 25.92 8.98 7.87 7.02 9.15 12.66
2024,3,00-0033009,WR,5.8067,5.3250,0.0000,12.71 3.91 2.58 4.53 0.00 4.53 8.00 9.07 6.84 0.00 3.91 4.53 1.16 7.47 9.16 2.84 8.09 3.11 3.20 6.58 9.33 3.64 7.38 13.96 8.71 4.80 6.84 5.33 2.93 3.02 5.07 5.60 4.71 1.96 22.76 2.67 2.31 4.71 9.33 4.98
2024,3,00-0033040,WR,16.6396,9.4000,0.8000,16.33 17.33 3.08 33.33 11.58 8.00 14.67 21.58 14.58 25.17 20.83 22.08 31.58 1.33 19.50 17.42 35.50 25.33 19.92 9.00 10.92 20.33 46.25 24.00 5.58 8.33 15.50 21.92 28.00 8.17 18.92 6.58 7.83 9.50 26.17 6.83 4.25 9.50 10.75 8.08
2024,3,00-0033045,RB,7.4878,9.9000,0.2250,18.81 14.41 3.78 -0.31 4.09 3.17 15.64 8.18 10.53 3.88 5.11 7.05 10.94 8.28 3.07 10.94 5.62 2.25 2.86 20.34 5.42 2.35 7.46 14.62 14.72 6.13 6.95 1.02 4.80 2.66 13.08 6.54 4.29 7.26 13.29 9.20 6.34 4.29 8.08 2.35
2024,3,00-0033077,QB,21.6001,2.1500,0.1250,20.96 21.26 30.16 30.73 27.46 21.73 19.67 8.81 21.43 22.39 22.18 17.68 26.03 21.47 17.11 24.66 20.83 32.47 26.72 17.11 31.12 22.90 22.10 41.42 7.65 0.16 19.57 13.21 20.44 34.22 16.03 34.76 15.25 8.61 4.58 16.31 30.32 43.12 5.09 26.31
2024,3,00-0033090,TE,6.6246,5.4250,0.2000,12.21 3.11 4.55 8.81 7.29 6.36 1.23 13.51 5.71 7.94 2.82 0.00 13.79 2.02 14.81 16.39 10.40 1.37 4.41 9.32 1.23 10.33 12.86 3.39 4.55 2.60 1.23 11.19 8.31 10.91 5.78 6.64 3.03 7.94 2.60 4.55 3.32 2.60 5.34 10.54
2024,3,00-0033106,QB,24.9574,1.3500,0.0000,37.40 22.79 28.65 25.77 26.91 11.75 10.78 25.00 30.23 19.38 26.86 21.02 16.69 30.52 23.86 20.93 26.96 23.88 6.01 32.51 20.30 21.65 40.31 24.32 24.61 19.81 28.00 19.18 35.41 23.13 31.49 33.96 34.27 14.44 46.22 36.45 8.89 23.11 20.78 24.05
2024,3,00-0033110,TE,7.8583,5.1000,0.3500,4.71 7.02 6.33 9.24 7.79 13.26 6.50 12.92 3.68 11.72 0.00 3.08 2.14 5.56 6.67 10.35 10.44 3.08 6.33 6.50 2.22 6.59 10.10 9.24 4.02 8.47 3.25 6.76 6.93 18.91 5.73 7.79 1.20 24.30 32.51 6.59 14.72 2.82 1.20 3.68
2024,3,00-0033119,QB,10.1414,3.0750,0.1250,13.25 14.01 18.68 10.56 18.11 2.66 5.52 7.77 7.96 22.52 8.65 5.10 10.34 8.93 11.21 4.45 9.30 4.68 15.14 7.35 10.44 7.68 25.99 8.20 13.88 11.41 4.36 16.22 3.29 10.54 6.95 6.54 13.32 9.56 0.66 6.59 23.43 6.69 7.55 6.15
2024,3,00-0033246,TE,3.9551,2.9750,0.0750,5.87 0.00 0.00 1.66 6.84 2.54 4.11 0.00 9.29 13.00 0.00 7.92 2.25 2.25 9.97 2.35 2.05 1.56 1.66 3.91 4.79 6.06 3.91 5.08 7.24 3.81 1.08 2.35 1.08 1.37 0.00 0.00 4.20 4.60 7.63 13.79 0.00 2.54 4.11 7.33
2024,3,00-0033251,WR,1.8915,1.6250,0.0250,1.62 11.42 1.19 1.62 0.00 3.56 4.63 0.00 0.00 0.00 0.00 2.69 2.05 2.37 0.97 2.16 4.96 0.00 0.00 6.57 0.00 1.62 0.00 2.37 0.00 0.00 0.00 4.20 0.00 1.72 6.47 5.82 0.00 4.42 3.23 0.00 0.00 0.00 0.00 0.00
2024,3,00-0033280,RB,22.5426,13.2750,1.1750,28.50 9.43 29.40 10.32 23.90 7.63 1.80 56.78 24.46 18.40 22.00 10.89 31.53 18.85 29.51 17.96 7.29 24.24 18.74 21.77 35.35 28.95 21.43 14.59 15.60 20.87 18.85 12.34 51.85 10.55 7.18 25.36 20.65 8.08 20.87 35.35 19.64 25.14 45.90 49.71
2024,3,00-0033282,WR,9.9429,4.4750,0.4000,12.34 29.40 8.53 5.16 2.69 2.24 11.56 7.18 14.25 10.32 14.81 12.34 0.00 3.82 9.99 18.18 5.95 2.47 15.26 3.93 0.00 12.12 4.60 10.32 6.17 17.06 23.79 12.79 27.61 9.99 0.00 6.17 4.60 9.09 13.92 1.01 21.55 8.19 15.60 2.69
2024,3,00-0033293,RB,12.9800,16.2750,0.4500,16.13 16.04 12.03 15.16 9.68 18.97 18.77 30.21 12.61 12.12 24.35 5.87 5.96 29.63 4.79 9.29 12.61 8.90 10.46 6.55 4.30 30.41 12.12 16.62 21.02 5.87 4.69 20.14 12.71 9.58 4.30 5.96 15.94 6.06 22.59 12.81 5.67 5.57 16.62 6.06
2024,3,00-0033307,WR,6.0324,5.9000,0.0750,11.99 6.21 8.81 1.23 5.71 4.69 1.81 2.31 3.11 2.24 17.12 10.91 6.28 11.05 7.22 6.21 2.96 7.80 8.16 1.73 7.29 3.90 1.16 16.32 6.28 9.24 5.78 9.03 3.61 6.14 2.24 2.96 5.34 0.00 7.58 3.76 15.38 1.08 4.91 1.73
2024,3,00-0033357,TE,4.9240,3.4250,0.1500,2.06 0.00 2.29 0.34 -0.11 2.52 1.60 2.52 0.00 5.38 0.34 2.63 2.98 3.66 5.04 11.79 0.00 3.55 2.75 0.80 3.78 24.15 1.03 6.07 2.63 7.10 5.26 -0.11 5.04 8.35 4.23 8.35 16.25 18.77 8.35 2.75 5.26 2.75 10.87 5.95
2024,3,00-0033375,WR,7.8995,3.2750,0.2750,17.80 19.14 2.54 9.45 11.87 9.45 0.00 5.33 0.00 8.60 3.03 9.93 7.75 1.82 10.05 0.00 6.90 6.66 6.90 4.48 12.96 3.75 15.38 0.00 26.28 2.18 14.53 12.35 23.98 0.00 0.00 2.30 13.32 23.98 13.08 2.66 4.84 0.00 0.00 2.66
2024,3,00-0033376,RB,1.3802,0.7000,0.0500,0.00 0.00 0.00 0.00 0.00 0.00 2.07 0.00 10.45 4.68 0.00 0.00 0.00 0.00 8.28 4.25 0.00 0.00 0.00 1.96 0.00 4.90 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.81 10.02 0.00 3.27 0.00 0.00 0.00 1.52 0.00 0.00 0.00
2024,3,00-0033439,TE,1.1249,0.7000,0.0250,0.00 0.00 0.00 0.00 0.00 1.82 2.02 0.00 0.00 1.31 0.00 0.00 0.00 0.00 4.15 2.83 0.00 0.00 0.00 0.00 2.33 0.00 0.00 0.00 0.00 1.92 0.00 0.00 0.00 0.00 2.53 1.42 0.00 3.34 17.09 0.00 0.00 4.25 0.00 0.00
2024,3,00-0033526,RB,3.5906,2.8250,0.0500,3.16 0.22 0.65 2.18 3.38 0.65 1.52 0.00 4.03 2.72 3.92 4.68 0.00 0.00 2.94 4.68 2.61 11.76 0.00 7.19 0.00 2.94 3.05 11.76 0.98 1.52 2.07 1.20 9.15 6.32 1.96 11.76 1.63 4.57 2.83 7.73 2.61 1.85 11.11 2.29
2024,3,00-0033536,WR,7.9676,4.9750,0.1500,4.85 19.72 6.17 13.45 10.01 2.73 11.73 8.09 10.31 4.45 2.73 5.97 3.24 12.03 9.61 1.52 3.54 8.70 6.57 1.42 3.74 12.54 9.61 13.75 14.05 2.12 23.05 0.00 14.96 4.15 1.72 9.10 16.08 12.34 2.53 2.33 8.90 3.44 6.77 10.72
2024,3,00-0033537,QB,9.9013,2.4250,0.2500,7.65 15.11 1.33 11.67 14.04 12.36 19.44 9.61 11.37 8.78 1.62 15.09 11.65 6.98 9.65 7.30 16.65 6.09 10.42 9.91 9.10 6.55 10.52 3.36 6.57 3.16 4.07 8.74 20.51 11.55 16.42 12.48 15.94 10.74 12.34 4.25 5.46 7.30 4.43 15.82
2024,3,00-0033553,RB,15.5173,14.3250,0.8250,15.74 22.85 9.81 14.23 13.36 19.83 26.41 3.23 22.09 8.08 7.65 5.28 36.86 27.91 17.57 24.47 21.88 6.47 9.38 11.10 7.87 7.76 6.90 18.00 7.33 23.50 7.54 2.69 13.47 24.90 14.23 14.55 5.71 35.24 16.49 20.05 35.14 17.68 5.07 12.39
2024,3,00-0033555,WR,4.8789,2.3000,0.1500,0.00 10.89 2.58 0.00 1.46 7.63 16.61 19.08 0.00 14.48 1.68 0.00 0.00 1.68 0.00 5.61 1.68 4.26 5.50 0.00 17.28 2.13 3.70 1.46 0.00 8.64 0.00 17.84 4.71 2.58 0.00 2.02 3.14 8.30 15.71 2.58 1.80 0.00 6.06 4.04
2024,3,00-0033576,TE,2.2136,1.3500,0.0500,0.00 2.13 3.25 0.00 0.00 3.82 2.69 1.57 2.58 0.00 2.13 4.26 7.97 18.40 0.00 3.59 1.46 0.00 0.00 5.50 4.49 0.00 0.00 0.00 0.00 1.23 0.00 5.16 0.00 1.46 0.00 10.21 3.48 0.00 0.90 0.00 0.00 2.24 0.00 0.00
2024,3,00-0033589,WR,1.1423,1.6500,0.0000,0.00 1.30 0.00 0.77 5.44 2.76 0.00 0.00 1.15 3.14 0.00 4.14 0.00 0.00 1.23 1.15 1.23 0.00 0.00 0.00 0.00 1.23 0.69 0.00 0.00 2.22 0.00 1.30 1.23 2.45 0.00 1.61 0.00 4.52 1.15 0.77 0.00 5.06 1.15 0.00
2024,3,00-0033591,WR,6.3996,4.6500,0.1500,9.75 0.00 7.19 1.28 10.52 12.66 10.35 8.90 4.36 6.59 14.03 4.71 0.00 4.79 4.79 5.48 1.54 6.07 6.67 2.05 2.99 14.63 13.52 8.13 9.15 8.81 8.98 4.62 8.30 1.71 9.67 4.88 7.70 4.79 4.36 7.36 0.00 3.34 5.13 6.16
2024,3,00-0033699,RB,7.2829,8.9500,0.2500,5.56 10.52 8.13 10.87 1.97 13.95 12.66 5.05 7.70 7.79 8.13 1.37 3.85 7.87 4.19 11.04 5.13 6.50 1.63 4.96 6.67 4.11 7.70 3.17 0.77 8.38 7.19 8.04 5.30 4.11 10.18 11.38 13.52 8.73 3.85 22.16 6.16 7.53 3.59 9.92
2024,3,00-0033757,TE,2.0313,1.3250,0.0750,0.00 7.33 0.00 2.44 3.23 1.27 0.00 1.27 0.00 0.00 1.56 0.00 1.96 5.08 0.00 9.68 1.96 6.65 0.00 7.43 0.00 0.00 2.84 0.00 0.00 3.81 0.00 0.00 2.44 0.00 5.87 1.96 0.00 0.00 3.62 3.62 2.35 0.00 0.00 4.89
2024,3,00-0033854,RB,2.9867,3.4000,0.1250,3.63 3.73 11.20 0.53 1.39 9.71 4.80 3.84 1.07 8.32 2.13 17.07 0.00 0.00 1.07 5.87 0.32 4.27 1.07 8.43 0.00 1.07 0.75 0.53 2.77 4.37 6.08 2.99 0.00 0.32 0.32 1.28 1.60 -0.21 6.51 0.00 1.49 -0.21 0.43 0.96
2024,3,00-0033857,WR,5.6568,3.2500,0.0250,9.69 5.01 8.93 3.59 1.85 12.09 3.70 5.66 4.03 11.22 11.00 0.00 0.00 1.63 6.86 2.83 14.16 5.01 1.63 12.52 0.00 3.38 7.95 7.30 0.00 2.07 4.46 10.24 6.21 4.90 2.18 7.73 10.45 0.00 0.00 6.75 1.85 14.26 6.21 8.93
2024,3,00-0033858,TE,5.4938,3.3000,0.3000,9.67 1.75 3.17 7.67 4.58 0.00 9.75 7.08 0.00 3.58 0.00 5.17 4.17 2.08 0.00 5.92 0.67 1.58 12.08 11.42 2.50 4.33 6.17 2.42 3.25 10.58 0.00 9.58 5.75 9.83 5.58 0.92 17.42 9.75 6.92 8.17 5.33 9.08 10.75 1.08
2024,3,00-0033873,QB,14.9521,2.4250,0.0750,27.24 23.96 17.77 8.67 33.32 14.02 13.70 15.05 12.70 16.99 13.79 25.46 18.53 3.85 22.63 28.79 19.60 14.24 14.57 21.34 5.38 7.97 15.81 11.65 3.57 16.16 8.93 11.13 14.11 8.54 5.14 19.99 14.46 2.53 6.21 26.63 4.64 13.50 16.59 18.92
2024,3,00-0033891,WR,9.5653,7.4500,0.0750,0.00 20.26 13.80 9.38 6.47 0.00 8.73 6.57 20.80 10.56 16.60 3.66 16.17 6.36 5.50 13.69 12.83 3.66 8.51 7.01 12.39 8.51 19.29 6.90 17.24 5.28 5.17 12.39 3.88 8.51 14.87 8.08 7.11 4.10 11.86 0.00 10.99 9.16 11.64 14.66
2024,3,00-0033893,RB,4.0071,5.6750,0.2000,6.85 4.19 14.72 1.12 2.66 1.33 1.12 2.86 1.33 5.42 1.53 1.33 9.51 7.05 6.24 2.25 2.66 0.61 -0.31 9.00 4.80 1.64 2.76 2.66 1.94 3.17 6.34 18.30 0.31 1.94 0.61 2.76 9.30 2.96 5.32 2.04 2.76 1.43 2.15 5.62
2024,3,00-0033895,TE,3.7304,3.4250,0.0500,3.69 2.49 4.24 5.07 2.31 3.32 1.94 1.11 1.94 4.61 3.04 6.55 6.27 5.16 7.56 6.73 0.18 3.04 3.32 2.95 2.58 4.15 12.08 3.14 1.75 6.73 0.00 3.41 2.31 5.63 1.11 2.58 4.15 3.04 2.77 0.92 4.06 7.38 3.69 2.21
2024,3,00-0033906,RB,20.2910,18.3750,0.7000,18.88 6.64 8.93 18.08 7.78 29.64 15.79 12.02 14.19 10.41 48.30 13.28 9.61 26.67 21.52 17.97 22.66 41.43 32.85 19.23 15.11 22.32 21.17 17.74 11.44 12.82 17.51 21.52 13.62 14.19 7.32 3.89 42.00 30.21 19.34 42.12 9.73 15.45 39.83 38.45
2024,3,00-0033921,WR,11.4416,8.4250,0.1250,9.82 11.26 18.39 10.23 7.13 10.64 25.32 10.85 9.82 19.12 7.44 2.69 14.88 24.80 17.26 1.34 8.78 10.85 8.78 8.99 1.76 17.05 6.30 7.54 10.64 4.75 14.67 18.50 16.84 6.20 21.80 10.44 21.70 17.67 7.75 6.51 12.40 9.61 7.13 0.00
2024,3,00-0033923,RB,3.8492,5.5750,0.1500,2.18 1.63 0.98 3.16 1.74 3.38 6.21 0.76 0.00 5.23 2.72 4.03 0.22 1.96 5.01 1.42 11.43 0.98 2.83 1.09 0.54 4.46 7.84 1.42 0.44 10.24 10.89 8.60 2.94 0.22 2.40 2.61 1.20 3.16 13.94 5.23 4.68 7.51 1.96 6.75
2024,3,00-0033925,RB,4.3388,7.5250,0.1500,1.38 0.00 10.48 1.88 2.97 3.26 3.56 0.59 8.21 3.26 16.71 4.55 2.27 2.18 7.91 11.17 1.48 1.68 2.47 0.30 1.58 5.14 2.87 1.58 0.79 2.97 1.09 13.84 8.90 10.88 2.47 7.81 2.77 0.49 0.69 1.88 4.25 0.10 5.64 11.47
