season,week,playerId,position,points,touches,tds,dealt
2024,3,00-0031544,WR,10.7418,7.8750,0.0750,3.36 14.14 4.75 13.94 2.57 4.85 4.25 13.94 14.24 1.38 6.13 23.44 6.33 10.78 3.86 7.52 30.66 12.16 3.07 9.10 0.00 12.16 10.19 18.99 12.66 19.38 7.52 14.54 17.90 0.00 5.93 11.97 15.53 18.49 6.82 25.71 8.60 6.92 21.95 3.96
2024,3,00-0031547,WR,5.1460,4.7250,0.0250,1.65 3.41 6.30 5.89 4.75 8.89 4.03 4.86 4.03 3.00 1.24 4.34 7.85 3.93 9.09 5.68 4.86 5.27 3.62 8.37 6.30 1.34 2.07 8.27 4.13 2.07 7.03 11.78 4.86 9.20 6.20 0.00 0.00 15.09 2.27 0.00 5.89 4.03 10.33 3.93
2024,3,00-0031549,WR,4.3174,2.1750,0.1250,13.39 0.00 0.00 19.16 4.46 2.40 10.02 0.00 5.88 6.10 0.00 0.00 2.18 12.09 0.00 0.00 4.79 1.96 0.00 5.55 11.98 0.00 2.94 11.00 2.40 0.00 3.59 4.03 0.00 14.16 0.00 3.92 6.86 1.63 7.62 9.15 0.00 5.44 0.00 0.00
2024,3,00-0031588,WR,12.5893,7.4000,0.3750,21.33 19.95 10.03 12.69 15.36 9.71 37.44 21.23 18.45 26.35 9.07 3.09 19.95 9.28 13.97 20.27 20.27 6.72 1.07 9.07 0.00 10.24 6.40 6.40 8.53 16.00 8.64 23.04 11.20 6.83 9.17 0.00 15.25 6.40 9.49 4.91 24.11 12.27 0.00 19.41
2024,3,00-0031610,TE,3.7887,4.9750,0.0250,3.64 1.47 2.38 3.15 3.22 7.35 1.54 2.45 1.89 0.00 7.77 3.43 5.46 2.17 3.50 3.92 2.52 1.33 6.37 4.27 2.10 2.17 3.64 2.03 1.54 0.00 4.06 4.55 2.24 13.23 16.24 6.58 3.57 5.95 1.19 4.27 1.96 0.00 2.66 5.74
2024,3,00-0031763,WR,1.9828,1.8500,0.0250,1.84 1.48 0.00 0.00 3.23 1.38 1.57 4.98 2.58 0.00 0.00 0.00 2.67 2.49 1.94 1.20 1.20 1.38 1.20 1.38 4.52 0.00 2.95 2.49 0.00 0.92 6.82 1.38 7.65 1.29 0.00 0.00 0.00 0.00 0.00 9.59 1.20 4.61 1.29 4.06
2024,3,00-0031941,WR,1.2769,0.9750,0.0250,0.00 1.37 5.48 0.00 2.14 1.88 1.80 0.00 0.00 5.22 0.00 0.00 0.00 6.50 2.57 0.00 1.45 0.00 0.00 3.34 0.00 1.80 0.00 1.54 0.00 0.00 3.17 0.00 1.88 3.34 0.00 0.00 4.19 1.45 0.00 0.00 1.97 0.00 0.00 0.00
2024,3,00-0032104,RB,2.1006,2.5500,0.0750,2.12 0.00 1.01 1.01 0.00 0.00 0.10 0.00 0.00 0.00 1.01 2.22 7.28 0.00 2.12 1.21 2.63 0.20 6.67 8.29 4.15 2.33 3.03 0.61 1.82 0.81 2.73 0.00 1.21 4.95 1.72 3.24 5.36 0.20 1.82 8.59 0.40 3.34 0.00 1.82
2024,3,00-0032128,WR,14.5777,5.0500,0.6250,21.43 12.01 0.00 11.78 10.10 10.21 14.70 8.64 39.28 14.48 3.48 17.73 19.08 4.94 5.61 5.27 5.84 21.10 23.12 6.73 15.94 2.13 14.36 3.25 15.26 12.68 4.15 13.02 21.32 13.24 15.04 23.90 24.69 19.08 19.53 9.76 38.16 32.21 17.84 12.01
2024,3,00-0032211,WR,9.2239,6.7750,0.1500,10.41 3.84 3.84 10.21 11.53 2.73 13.14 3.94 4.85 4.65 6.98 3.13 6.57 9.30 14.66 8.19 4.65 5.06 20.22 4.55 15.27 19.11 4.25 11.73 13.25 3.64 6.67 4.85 13.14 16.78 9.81 10.41 14.66 0.00 14.05 25.78 11.12 15.27 5.56 1.11
