season,week,gsisId,team,status,fetchedAt
2026,3,00-0037002,PHI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037012,LAC,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0037031,CHI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037057,LAR,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037078,MIA,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037086,PHI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037112,SF,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037141,ARI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037156,SEA,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037197,DET,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037205,NE,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0037228,PIT,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0037243,DAL,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037244,CAR,Out,2026-09-26T14:58:25.380Z
2026,3,00-0037250,NO,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0037251,CLE,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037276,NO,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037281,DET,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037297,DET,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037303,DEN,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037307,CIN,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037327,BAL,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037329,CHI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037431,NYJ,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037525,MIN,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037526,NYJ,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037544,CHI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037549,MIA,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0037557,LAR,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037563,DAL,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037602,SF,IR,2026-09-26T14:58:25.380Z
2026,3,00-0037616,WAS,Out,2026-09-26T14:58:25.380Z
2026,3,00-0037633,HOU,Out,2026-09-26T14:58:25.380Z
