team,season,role,name
CLE,2021,HC,Kevin Stefanski
CLE,2021,OC,Alex Van Pelt
CLE,2022,HC,Kevin Stefanski
CLE,2022,OC,Alex Van Pelt
CLE,2023,HC,Kevin Stefanski
CLE,2023,OC,Alex Van Pelt
CLE,2024,HC,Kevin Stefanski
CLE,2024,OC,Ken Dorsey
DAL,2015,HC,Jason Garrett
DAL,2015,OC,Scott Linehan
DAL,2016,HC,Jason Garrett
DAL,2016,OC,Scott Linehan
DAL,2017,HC,Jason Garrett
DAL,2017,OC,Scott Linehan
DAL,2018,HC,Jason Garrett
DAL,2018,OC,Scott Linehan
DAL,2019,HC,Jason Garrett
DAL,2019,OC,Kellen Moore
DAL,2020,HC,Mike McCarthy
DAL,2020,OC,Kellen Moore
DAL,2021,HC,Mike McCarthy
DAL,2021,OC,Kellen Moore
DAL,2022,HC,Mike McCarthy
DAL,2022,OC,Kellen Moore
DAL,2023,HC,Mike McCarthy
DAL,2023,OC,Brian Schottenheimer
DAL,2024,HC,Mike McCarthy
DAL,2024,OC,Brian Schottenheimer
DEN,2015,HC,Gary Kubiak
DEN,2015,OC,Rick Dennison
DEN,2016,HC,Gary Kubiak
DEN,2016,OC,Rick Dennison
DEN,2017,HC,Vance Joseph
DEN,2017,OC,Mike McCoy
DEN,2018,HC,Vance Joseph
DEN,2018,OC,Bill Musgrave
DEN,2019,HC,Vic Fangio
DEN,2019,OC,Rich Scangarello
DEN,2020,HC,Vic Fangio
DEN,2020,OC,Pat Shurmur
DEN,2021,HC,Vic Fangio
DEN,2021,OC,Pat Shurmur
DEN,2022,HC,Nathaniel Hackett
DEN,2022,OC,Justin Outten
DEN,2023,HC,Sean Payton
DEN,2023,OC,Joe Lombardi
DEN,2024,HC,Sean Payton
DEN,2024,OC,Joe Lombardi
DET,2015,HC,Jim Caldwell
DET,2015,OC,Joe Lombardi
DET,2016,HC,Jim Caldwell
DET,2016,OC,Jim Bob Cooter
DET,2017,HC,Jim Caldwell
DET,2017,OC,Jim Bob Cooter
DET,2018,HC,Matt Patricia
DET,2018,OC,Jim Bob Cooter
DET,2019,HC,Matt Patricia
DET,2019,OC,Darrell Bevell
DET,2020,HC,Matt Patricia
DET,2020,OC,Darrell Bevell
DET,2021,HC,Dan Campbell
DET,2021,OC,Anthony Lynn
DET,2022,HC,Dan Campbell
DET,2022,OC,Ben Johnson
DET,2023,HC,Dan Campbell
DET,2023,OC,Ben Johnson
DET,2024,HC,Dan Campbell
DET,2024,OC,Ben Johnson
GB,2015,HC,Mike McCarthy
GB,2015,OC,Edgar Bennett
GB,2016,HC,Mike McCarthy
