season,week,playerId,position,points,touches,tds
2024,3,00-0034646,WR,1.3371,1.3000,0.0000
2024,3,00-0034681,RB,2.0641,3.1250,0.0750
2024,3,00-0034750,RB,3.0743,4.4750,0.1750
2024,3,00-0034753,TE,13.7962,7.7500,0.1750
2024,3,00-0034764,WR,2.0930,1.9750,0.0500
2024,3,00-0034765,WR,3.1519,1.6750,0.1000
2024,3,00-0034775,WR,12.7665,9.4750,0.2500
2024,3,00-0034777,WR,4.7593,5.4000,0.1000
2024,3,00-0034791,RB,10.7047,12.9500,0.4250
2024,3,00-0034796,QB,21.3439,5.1750,0.4000
2024,3,00-0034798,TE,2.4583,1.9750,0.0250
2024,3,00-0034808,RB,1.0399,0.9500,0.0500
2024,3,00-0034827,WR,12.2218,8.6500,0.2750
2024,3,00-0034829,TE,5.5937,3.6750,0.1000
2024,3,00-0034830,TE,3.8298,3.7500,0.1250
2024,3,00-0034837,WR,7.2378,7.0500,0.1000
2024,3,00-0034838,RB,1.4364,3.2250,0.0250
2024,3,00-0034844,RB,17.8121,20.8500,0.9750
2024,3,00-0034854,WR,1.2685,0.9500,0.0250
2024,3,00-0034855,QB,10.6588,1.9500,0.0250
2024,3,00-0034857,QB,24.8146,5.4250,0.1000
2024,3,00-0034869,QB,17.7168,2.0500,0.0500
2024,3,00-0034960,WR,6.1046,4.4500,0.0750
2024,3,00-0034970,TE,1.7653,1.5500,0.0250
2024,3,00-0034972,RB,6.2537,9.6500,0.2750
2024,3,00-0034975,RB,4.0697,3.5250,0.1250
2024,3,00-0034981,TE,4.7809,2.4250,0.1750
2024,3,00-0035045,WR,2.6502,1.9250,0.0750
2024,3,00-0035140,WR,4.0561,1.9000,0.1000
2024,3,00-0035208,WR,3.6083,2.9000,0.1250
2024,3,00-0035216,WR,6.6623,7.2000,0.1250
2024,3,00-0035228,QB,17.6168,2.5500,0.2250
2024,3,00-0035229,TE,12.4911,7.8000,0.3250
2024,3,00-0035243,RB,3.7490,6.6000,0.2250
2024,3,00-0035249,TE,2.3760,1.6000,0.0750
