season,week,offense,defense,startYard,result,points,plays,firstDowns
2022,1,NYJ,BAL,78,Punt,0,4,1
2022,1,BAL,NYJ,72,Punt,0,6,1
2022,1,NYJ,BAL,89,Punt,0,5,1
2022,1,BAL,NYJ,66,Punt,0,3,0
2022,1,NYJ,BAL,83,Turnover,0,3,1
2022,1,BAL,NYJ,13,Field goal,3,4,0
2022,1,NYJ,BAL,75,Punt,0,3,0
2022,1,BAL,NYJ,84,Punt,0,4,1
2022,1,NYJ,BAL,71,Missed field goal,0,8,3
2022,1,BAL,NYJ,65,Punt,0,5,1
2022,1,NYJ,BAL,89,Punt,0,6,2
2022,1,BAL,NYJ,62,Touchdown,7,3,2
2022,1,NYJ,BAL,75,Field goal,3,8,2
2022,1,BAL,NYJ,75,End of half,0,1,0
2022,1,BAL,NYJ,75,Punt,0,6,1
2022,1,NYJ,BAL,80,Punt,0,3,0
2022,1,BAL,NYJ,44,Touchdown,7,6,3
2022,1,NYJ,BAL,75,Punt,0,5,1
2022,1,BAL,NYJ,88,Touchdown,7,5,3
2022,1,NYJ,BAL,91,Turnover,0,9,5
2022,1,BAL,NYJ,85,Punt,0,6,1
2022,1,NYJ,BAL,68,Turnover on downs,0,16,4
2022,1,BAL,NYJ,93,Turnover,0,3,0
2022,1,NYJ,BAL,43,Touchdown,7,11,4
2022,1,BAL,NYJ,42,End of half,0,2,0
2022,1,BUF,LA,75,Touchdown,7,9,4
2022,1,LA,BUF,83,Punt,0,8,2
2022,1,BUF,LA,91,Turnover,0,8,4
2022,1,LA,BUF,76,Punt,0,3,0
2022,1,BUF,LA,68,Turnover,0,2,0
2022,1,LA,BUF,36,Turnover,0,2,0
2022,1,BUF,LA,68,Field goal,3,8,2
2022,1,LA,BUF,60,Touchdown,7,11,5
2022,1,BUF,LA,75,Turnover,0,4,1
2022,1,LA,BUF,45,Field goal,3,8,2
2022,1,LA,BUF,89,Punt,0,3,0
2022,1,BUF,LA,58,Touchdown,7,8,5
2022,1,LA,BUF,75,Punt,0,6,2
2022,1,BUF,LA,89,Touchdown,7,13,5
2022,1,LA,BUF,78,Turnover,0,5,2
2022,1,BUF,LA,59,Touchdown,7,3,1
2022,1,LA,BUF,76,Turnover,0,7,2
2022,1,BUF,LA,37,Turnover,0,3,1
2022,1,LA,BUF,82,Turnover on downs,0,14,4
2022,1,BUF,LA,84,End of half,0,1,0
2022,1,CAR,CLE,78,Punt,0,3,0
2022,1,CLE,CAR,65,Turnover on downs,0,8,2
2022,1,CAR,CLE,64,Punt,0,3,0
2022,1,CLE,CAR,65,Punt,0,8,2
2022,1,CAR,CLE,95,Punt,0,5,1
2022,1,CLE,CAR,56,Punt,0,3,0
2022,1,CAR,CLE,92,Turnover,0,5,1
2022,1,CLE,CAR,42,Touchdown,7,3,2
2022,1,CAR,CLE,75,Punt,0,3,0
2022,1,CLE,CAR,78,Touchdown,7,8,3
2022,1,CAR,CLE,75,Touchdown,7,6,3
2022,1,CLE,CAR,60,Field goal,3,9,3
2022,1,CAR,CLE,75,End of half,0,2,0
2022,1,CLE,CAR,74,Field goal,3,13,4
2022,1,CAR,CLE,82,Punt,0,4,1
2022,1,CLE,CAR,67,Punt,0,3,0
2022,1,CAR,CLE,75,Touchdown,7,11,5
2022,1,CLE,CAR,75,Field goal,3,10,3
2022,1,CAR,CLE,75,Touchdown,7,1,1
2022,1,CLE,CAR,75,Punt,0,7,2
2022,1,CAR,CLE,80,Field goal,3,7,3
2022,1,CLE,CAR,75,Field goal,3,6,2
2022,1,CAR,CLE,75,End of half,0,1,0
2022,1,SEA,DEN,70,Touchdown,7,6,2
2022,1,DEN,SEA,89,Field goal,3,9,3
2022,1,SEA,DEN,79,Turnover on downs,0,7,4
2022,1,DEN,SEA,93,Punt,0,7,3
2022,1,SEA,DEN,81,Field goal,3,9,4
2022,1,DEN,SEA,75,Touchdown,7,3,1
2022,1,SEA,DEN,75,Touchdown,7,7,4
2022,1,DEN,SEA,79,Field goal,3,9,3
2022,1,DEN,SEA,80,Turnover,0,10,3
2022,1,SEA,DEN,90,Turnover,0,6,3
2022,1,DEN,SEA,32,Turnover,0,5,1
2022,1,SEA,DEN,80,Punt,0,9,2
2022,1,DEN,SEA,80,Field goal,3,15,4
2022,1,SEA,DEN,70,Punt,0,3,0
2022,1,DEN,SEA,78,Missed field goal,0,10,2
2022,1,SEA,DEN,46,End of half,0,3,0
2022,1,MIN,GB,78,Touchdown,7,10,4
2022,1,GB,MIN,75,Punt,0,5,1
2022,1,MIN,GB,85,Punt,0,3,0
2022,1,GB,MIN,54,Punt,0,6,1
2022,1,MIN,GB,85,Punt,0,5,1
2022,1,GB,MIN,80,Turnover on downs,0,10,4
2022,1,MIN,GB,99,Field goal,3,8,3
2022,1,GB,MIN,75,Punt,0,3,0
2022,1,MIN,GB,74,Touchdown,7,7,4
2022,1,GB,MIN,75,Turnover,0,1,0
2022,1,MIN,GB,70,Punt,0,3,0
2022,1,GB,MIN,84,End of half,0,1,0
2022,1,GB,MIN,82,Turnover,0,5,2
2022,1,MIN,GB,33,Field goal,3,4,0
2022,1,GB,MIN,75,Touchdown,7,7,4
2022,1,MIN,GB,75,Punt,0,5,1
2022,1,GB,MIN,83,Punt,0,7,2
2022,1,MIN,GB,84,Field goal,3,12,4
2022,1,GB,MIN,75,Turnover on downs,0,11,3
2022,1,MIN,GB,82,Punt,0,7,2
2022,1,GB,MIN,92,End of half,0,5,4
2022,1,IND,HOU,75,Punt,0,3,0
2022,1,HOU,IND,78,Punt,0,3,0
2022,1,IND,HOU,74,Field goal,3,12,3
2022,1,HOU,IND,75,Punt,0,3,0
2022,1,IND,HOU,70,Turnover on downs,0,10,4
2022,1,HOU,IND,96,Field goal,3,14,5
2022,1,IND,HOU,75,Turnover,0,6,2
2022,1,HOU,IND,58,Touchdown,7,4,3
2022,1,IND,HOU,75,Punt,0,8,2
2022,1,HOU,IND,86,End of half,0,6,2
2022,1,HOU,IND,75,Field goal,3,5,1
2022,1,IND,HOU,75,Turnover,0,7,3
2022,1,HOU,IND,58,Touchdown,7,4,3
2022,1,IND,HOU,75,Punt,0,3,0
2022,1,HOU,IND,99,Punt,0,12,4
2022,1,IND,HOU,85,Field goal,3,11,5
2022,1,HOU,IND,75,Turnover,0,2,0
2022,1,IND,HOU,20,Touchdown,7,4,2
2022,1,HOU,IND,75,Punt,0,5,1
2022,1,IND,HOU,80,Touchdown,7,7,5
2022,1,HOU,IND,60,Punt,0,3,0
2022,1,IND,HOU,91,Punt,0,7,2
2022,1,HOU,IND,81,End of half,0,1,0
2022,1,HOU,IND,60,Punt,0,3,0
2022,1,IND,HOU,69,Missed field goal,0,13,4
2022,1,HOU,IND,68,Punt,0,5,1
2022,1,IND,HOU,94,End of half,0,2,1
2022,1,JAX,WAS,75,Field goal,3,7,4
2022,1,WAS,JAX,74,Touchdown,7,8,4
2022,1,JAX,WAS,75,Punt,0,6,1
2022,1,WAS,JAX,71,Touchdown,7,14,6
2022,1,JAX,WAS,75,Punt,0,3,0
2022,1,WAS,JAX,72,Punt,0,3,0
2022,1,JAX,WAS,71,Turnover on downs,0,8,4
2022,1,WAS,JAX,97,Turnover,0,8,3
2022,1,JAX,WAS,66,Missed field goal,0,10,3
2022,1,WAS,JAX,73,End of half,0,1,0
2022,1,WAS,JAX,75,Punt,0,5,1
2022,1,JAX,WAS,80,Touchdown,7,6,4
2022,1,WAS,JAX,75,Punt,0,5,1
2022,1,JAX,WAS,80,Field goal,3,11,4
2022,1,WAS,JAX,75,Turnover,0,4,1
2022,1,JAX,WAS,45,Field goal,3,6,1
2022,1,WAS,JAX,75,Turnover,0,1,0
2022,1,JAX,WAS,11,Touchdown,7,1,1
2022,1,WAS,JAX,78,Touchdown,7,4,2
2022,1,JAX,WAS,75,Punt,0,4,1
2022,1,WAS,JAX,90,Touchdown,7,13,7
2022,1,JAX,WAS,75,Turnover,0,4,1
2022,1,WAS,JAX,74,End of half,0,4,1
2022,1,KC,ARI,75,Touchdown,7,11,5
2022,1,ARI,KC,75,Punt,0,3,0
2022,1,KC,ARI,86,Touchdown,7,7,6
2022,1,ARI,KC,75,Touchdown,7,11,6
2022,1,KC,ARI,75,Touchdown,7,11,5
2022,1,ARI,KC,75,Punt,0,3,0
2022,1,KC,ARI,75,Punt,0,5,1
2022,1,ARI,KC,80,Punt,0,5,1
2022,1,KC,ARI,80,Turnover,0,1,0
2022,1,ARI,KC,42,Turnover on downs,0,4,0
2022,1,KC,ARI,66,Field goal,3,6,2
2022,1,ARI,KC,75,End of half,0,1,0
2022,1,ARI,KC,74,Punt,0,5,1
2022,1,KC,ARI,75,Touchdown,7,4,4
2022,1,ARI,KC,75,Punt,0,3,0
2022,1,KC,ARI,66,Touchdown,7,8,4
2022,1,ARI,KC,75,Touchdown,7,14,5
2022,1,KC,ARI,66,Touchdown,7,9,5
2022,1,ARI,KC,48,Touchdown,7,6,3
2022,1,KC,ARI,90,Punt,0,5,1
2022,1,ARI,KC,79,End of half,0,8,2
2022,1,LAC,LV,75,Field goal,3,12,3
2022,1,LV,LAC,75,Field goal,3,14,4
2022,1,LAC,LV,60,Punt,0,3,0
2022,1,LV,LAC,98,Punt,0,3,0
2022,1,LAC,LV,67,Touchdown,7,9,4
2022,1,LV,LAC,75,Punt,0,5,1
2022,1,LAC,LV,91,Turnover on downs,0,9,3
2022,1,LV,LAC,72,Turnover,0,2,0
2022,1,LAC,LV,31,Touchdown,7,2,1
2022,1,LV,LAC,75,End of half,0,1,0
2022,1,LV,LAC,75,Touchdown,7,5,3
2022,1,LAC,LV,73,Touchdown,7,11,5
2022,1,LV,LAC,75,Field goal,3,11,3
2022,1,LAC,LV,75,Punt,0,3,0
2022,1,LV,LAC,77,Turnover,0,3,2
2022,1,LAC,LV,98,Punt,0,3,0
2022,1,LV,LAC,60,Turnover,0,2,0
2022,1,LAC,LV,49,Missed field goal,0,7,1
2022,1,LV,LAC,61,Touchdown,7,7,4
2022,1,LAC,LV,75,Punt,0,3,0
2022,1,LV,LAC,79,Turnover on downs,0,5,1
2022,1,LAC,LV,28,End of half,0,5,1
2022,1,NE,MIA,75,Turnover,0,8,4
2022,1,MIA,NE,72,Field goal,3,11,3
2022,1,NE,MIA,75,Punt,0,8,2
2022,1,MIA,NE,94,Punt,0,10,3
2022,1,NE,MIA,85,Opp touchdown,0,2,0
2022,1,NE,MIA,74,Punt,0,6,1
2022,1,MIA,NE,92,Touchdown,7,10,4
2022,1,NE,MIA,75,End of half,0,1,0
2022,1,MIA,NE,74,Punt,0,3,0
2022,1,NE,MIA,92,Touchdown,7,15,7
2022,1,MIA,NE,81,Field goal,3,8,3
2022,1,NE,MIA,75,Punt,0,5,1
2022,1,MIA,NE,90,Punt,0,3,0
2022,1,NE,MIA,57,Turnover on downs,0,4,0
2022,1,NE,MIA,95,Turnover,0,5,2
2022,1,MIA,NE,63,End of half,0,10,4
2022,1,ATL,NO,75,Field goal,3,10,3
2022,1,NO,ATL,75,Punt,0,3,0
2022,1,ATL,NO,79,Punt,0,3,0
2022,1,NO,ATL,77,Touchdown,7,5,2
2022,1,ATL,NO,75,Turnover,0,1,0
2022,1,NO,ATL,43,Missed field goal,0,7,1
2022,1,ATL,NO,66,Touchdown,7,9,6
2022,1,NO,ATL,75,Punt,0,3,0
2022,1,ATL,NO,79,Punt,0,5,1
2022,1,NO,ATL,78,Punt,0,4,1
2022,1,ATL,NO,82,Field goal,3,7,2
2022,1,NO,ATL,75,Punt,0,3,0
2022,1,ATL,NO,61,Field goal,3,4,1
2022,1,NO,ATL,75,Field goal,3,11,3
2022,1,ATL,NO,75,Touchdown,7,5,4
2022,1,NO,ATL,75,Turnover,0,4,1
2022,1,ATL,NO,36,Turnover,0,5,1
2022,1,NO,ATL,95,Punt,0,3,0
2022,1,NO,ATL,75,Touchdown,7,4,4
2022,1,ATL,NO,75,Punt,0,6,1
2022,1,NO,ATL,86,Touchdown,7,8,5
2022,1,ATL,NO,75,Punt,0,7,2
2022,1,NO,ATL,80,Field goal,3,5,1
2022,1,ATL,NO,75,Missed field goal,0,5,2
2022,1,NYG,TEN,78,Punt,0,3,0
2022,1,TEN,NYG,45,Touchdown,7,5,3
2022,1,NYG,TEN,75,Punt,0,6,1
2022,1,TEN,NYG,82,Punt,0,3,0
2022,1,NYG,TEN,60,Punt,0,3,0
2022,1,TEN,NYG,93,Field goal,3,10,3
2022,1,NYG,TEN,75,Turnover,0,6,2
2022,1,TEN,NYG,42,Field goal,3,7,2
2022,1,NYG,TEN,83,Punt,0,5,1
2022,1,TEN,NYG,82,Punt,0,7,2
2022,1,NYG,TEN,91,End of half,0,4,3
2022,1,TEN,NYG,76,Punt,0,3,0
2022,1,NYG,TEN,90,Touchdown,7,4,4
2022,1,TEN,NYG,90,Punt,0,3,0
2022,1,NYG,TEN,64,Touchdown,7,2,1
2022,1,TEN,NYG,75,Touchdown,7,9,5
2022,1,NYG,TEN,75,Punt,0,3,0
2022,1,TEN,NYG,86,Punt,0,3,0
2022,1,NYG,TEN,85,Punt,0,7,2
2022,1,NYG,TEN,11,Turnover,0,3,0
2022,1,TEN,NYG,80,Punt,0,5,1
2022,1,NYG,TEN,73,Touchdown,7,12,5
2022,1,TEN,NYG,70,Missed field goal,0,8,3
2022,1,DET,PHI,75,Touchdown,7,9,4
2022,1,PHI,DET,75,Turnover on downs,0,9,2
2022,1,DET,PHI,59,Punt,0,3,0
2022,1,PHI,DET,82,Touchdown,7,13,5
2022,1,DET,PHI,75,Punt,0,3,0
2022,1,PHI,DET,71,Punt,0,4,1
2022,1,DET,PHI,78,Punt,0,3,0
2022,1,PHI,DET,66,Touchdown,7,8,4
2022,1,DET,PHI,75,Opp touchdown,0,2,0
2022,1,DET,PHI,75,Touchdown,7,10,4
2022,1,PHI,DET,78,Field goal,3,9,2
2022,1,DET,PHI,75,End of half,0,1,0
2022,1,PHI,DET,82,Touchdown,7,10,6
2022,1,DET,PHI,75,Touchdown,7,14,5
2022,1,PHI,DET,49,Touchdown,7,5,4
2022,1,DET,PHI,75,Touchdown,7,6,5
2022,1,PHI,DET,75,Punt,0,4,1
2022,1,DET,PHI,80,Punt,0,4,1
2022,1,PHI,DET,83,Punt,0,3,0
2022,1,DET,PHI,72,Touchdown,7,11,4
2022,1,PHI,DET,81,End of half,0,8,2
2022,1,PIT,CIN,75,Punt,0,3,0
2022,1,CIN,PIT,78,Opp touchdown,0,2,0
2022,1,CIN,PIT,75,Field goal,3,10,3
2022,1,PIT,CIN,75,Punt,0,3,0
2022,1,CIN,PIT,65,Turnover,0,3,1
2022,1,PIT,CIN,34,Field goal,3,5,1
2022,1,CIN,PIT,75,Turnover,0,9,3
2022,1,PIT,CIN,59,Touchdown,7,7,4
2022,1,CIN,PIT,75,Turnover,0,6,2
2022,1,PIT,CIN,92,Punt,0,3,0
2022,1,CIN,PIT,65,Field goal,3,9,2
2022,1,PIT,CIN,75,End of half,0,1,0
2022,1,CIN,PIT,75,Punt,0,3,0
2022,1,PIT,CIN,91,Punt,0,6,1
2022,1,CIN,PIT,46,Touchdown,7,9,4
2022,1,PIT,CIN,75,Punt,0,6,1
2022,1,CIN,PIT,91,Punt,0,3,0
2022,1,PIT,CIN,45,Field goal,3,7,1
2022,1,CIN,PIT,75,Turnover,0,8,2
2022,1,PIT,CIN,77,Punt,0,4,1
2022,1,CIN,PIT,70,Turnover on downs,0,12,5
2022,1,PIT,CIN,83,Punt,0,3,0
2022,1,CIN,PIT,60,Touchdown,7,9,5
2022,1,PIT,CIN,75,Punt,0,3,0
2022,1,CIN,PIT,75,Missed field goal,0,9,4
2022,1,PIT,CIN,80,Missed field goal,0,6,2
2022,1,CIN,PIT,55,Punt,0,5,1
2022,1,PIT,CIN,80,Field goal,3,8,2
2022,1,CHI,SF,77,Punt,0,3,0
2022,1,SF,CHI,57,Turnover,0,5,2
2022,1,CHI,SF,88,Turnover,0,6,1
2022,1,SF,CHI,48,Punt,0,4,1
2022,1,CHI,SF,92,Punt,0,5,1
2022,1,SF,CHI,64,Punt,0,3,0
2022,1,CHI,SF,94,Punt,0,3,0
2022,1,SF,CHI,52,Touchdown,7,7,4
2022,1,CHI,SF,75,Punt,0,3,0
2022,1,SF,CHI,76,Punt,0,6,1
2022,1,CHI,SF,76,Punt,0,10,3
2022,1,SF,CHI,91,End of half,0,4,1
2022,1,SF,CHI,75,Field goal,3,11,3
2022,1,CHI,SF,72,Touchdown,7,5,2
2022,1,SF,CHI,80,Punt,0,6,1
2022,1,CHI,SF,84,Touchdown,7,10,5
2022,1,SF,CHI,75,Turnover,0,6,1
2022,1,CHI,SF,21,Touchdown,7,5,3
2022,1,SF,CHI,90,Turnover on downs,0,12,3
2022,1,CHI,SF,45,Punt,0,3,0
2022,1,SF,CHI,80,Turnover on downs,0,4,0
2022,1,CHI,SF,20,End of half,0,3,0
2022,1,DAL,TB,86,Field goal,3,14,4
2022,1,TB,DAL,75,Field goal,3,7,2
2022,1,DAL,TB,75,Punt,0,3,0
2022,1,TB,DAL,69,Field goal,3,7,2
2022,1,DAL,TB,90,Punt,0,3,0
2022,1,TB,DAL,61,Missed field goal,0,12,3
2022,1,DAL,TB,74,Turnover,0,3,0
2022,1,TB,DAL,23,Field goal,3,5,1
2022,1,DAL,TB,76,Punt,0,5,1
2022,1,TB,DAL,90,Field goal,3,8,2
2022,1,DAL,TB,85,End of half,0,1,0
2022,1,TB,DAL,75,Punt,0,4,1
2022,1,DAL,TB,80,Punt,0,5,1
2022,1,TB,DAL,79,Touchdown,7,9,5
2022,1,DAL,TB,75,Turnover on downs,0,9,2
2022,1,TB,DAL,59,Turnover,0,3,0
2022,1,DAL,TB,52,Punt,0,3,0
2022,1,TB,DAL,87,Punt,0,7,2
2022,1,DAL,TB,86,Turnover on downs,0,11,3
2022,1,TB,DAL,58,Punt,0,3,0
2022,1,DAL,TB,81,Turnover on downs,0,8,1
2022,2,LV,ARI,75,Touchdown,7,15,6
2022,2,ARI,LV,75,Punt,0,6,1
2022,2,LV,ARI,80,Field goal,3,9,3
2022,2,ARI,LV,75,Punt,0,5,1
2022,2,LV,ARI,59,Touchdown,7,7,4
2022,2,ARI,LV,90,Turnover,0,8,3
2022,2,LV,ARI,73,Field goal,3,9,2
2022,2,ARI,LV,75,Punt,0,4,1
2022,2,LV,ARI,92,Punt,0,3,0
2022,2,ARI,LV,79,Touchdown,7,11,5
2022,2,LV,ARI,75,Field goal,3,8,3
2022,2,ARI,LV,75,Turnover on downs,0,9,3
2022,2,LV,ARI,89,Punt,0,3,0
2022,2,ARI,LV,54,Touchdown,7,9,4
2022,2,LV,ARI,75,Punt,0,5,1
2022,2,ARI,LV,73,Touchdown,7,18,8
2022,2,ARI,LV,75,Turnover on downs,0,8,2
2022,2,LV,ARI,63,Opp touchdown,0,5,1
2022,2,ATL,LA,75,Missed field goal,0,13,4
2022,2,LA,ATL,66,Touchdown,7,9,5
2022,2,ATL,LA,75,Turnover on downs,0,6,1
2022,2,ATL,LA,75,Field goal,3,11,3
2022,2,LA,ATL,75,Turnover,0,6,3
2022,2,ATL,LA,80,Turnover,0,3,1
2022,2,LA,ATL,9,Touchdown,7,3,2
2022,2,ATL,LA,75,End of half,0,3,1
2022,2,LA,ATL,75,Touchdown,7,10,5
2022,2,ATL,LA,75,Punt,0,3,0
2022,2,LA,ATL,70,Turnover,0,2,0
2022,2,ATL,LA,20,Touchdown,7,5,2
2022,2,LA,ATL,79,Field goal,3,13,4
2022,2,ATL,LA,72,Touchdown,7,8,4
2022,2,LA,ATL,75,Opp touchdown,0,6,1
2022,2,LA,ATL,75,Turnover,0,3,0
2022,2,ATL,LA,37,Turnover,0,5,1
2022,2,LA,ATL,77,Safety,0,4,0
2022,2,NYG,CAR,22,Field goal,3,4,0
2022,2,CAR,NYG,75,Turnover,0,5,1
2022,2,NYG,CAR,40,Field goal,3,13,3
2022,2,CAR,NYG,71,Field goal,3,13,4
2022,2,NYG,CAR,75,Punt,0,5,1
2022,2,CAR,NYG,80,Punt,0,6,1
2022,2,NYG,CAR,89,Punt,0,3,0
2022,2,CAR,NYG,48,Field goal,3,10,3
2022,2,NYG,CAR,75,End of half,0,3,0
2022,2,NYG,CAR,75,Punt,0,3,0
2022,2,CAR,NYG,67,Touchdown,7,3,4
2022,2,NYG,CAR,75,Touchdown,7,8,5
2022,2,CAR,NYG,61,Punt,0,5,1
2022,2,NYG,CAR,85,Punt,0,5,1
2022,2,CAR,NYG,65,Punt,0,3,0
2022,2,NYG,CAR,90,Punt,0,3,0
2022,2,CAR,NYG,59,Punt,0,3,0
2022,2,NYG,CAR,91,Field goal,3,9,3
2022,2,CAR,NYG,75,Field goal,3,5,2
2022,2,NYG,CAR,75,Field goal,3,11,3
2022,2,CAR,NYG,75,Punt,0,4,2
2022,2,NYG,CAR,75,End of half,0,7,2
2022,2,GB,CHI,75,Field goal,3,13,4
2022,2,CHI,GB,71,Touchdown,7,7,4
2022,2,GB,CHI,75,Touchdown,7,9,5
2022,2,CHI,GB,80,Punt,0,3,0
2022,2,GB,CHI,61,Punt,0,3,0
2022,2,CHI,GB,80,Punt,0,3,0
2022,2,GB,CHI,54,Touchdown,7,9,4
2022,2,CHI,GB,85,Punt,0,3,0
2022,2,GB,CHI,67,Touchdown,7,7,4
2022,2,CHI,GB,75,End of half,0,1,0
2022,2,CHI,GB,78,Punt,0,3,0
2022,2,GB,CHI,86,Turnover,0,6,3
2022,2,CHI,GB,69,Field goal,3,7,2
2022,2,GB,CHI,76,Punt,0,7,2
2022,2,CHI,GB,90,Turnover on downs,0,13,5
2022,2,GB,CHI,99,Field goal,3,10,3
2022,2,CHI,GB,81,Turnover,0,2,0
2022,2,GB,CHI,39,End of half,0,4,1
2022,2,DAL,CIN,75,Touchdown,7,12,5
2022,2,CIN,DAL,75,Field goal,3,9,3
2022,2,DAL,CIN,75,Touchdown,7,6,3
2022,2,CIN,DAL,75,Punt,0,3,0
2022,2,DAL,CIN,75,Punt,0,6,1
2022,2,CIN,DAL,85,Punt,0,9,3
2022,2,DAL,CIN,89,Punt,0,7,2
2022,2,CIN,DAL,87,Punt,0,5,1
2022,2,DAL,CIN,49,Field goal,3,6,1
2022,2,CIN,DAL,75,End of half,0,1,0
2022,2,CIN,DAL,75,Field goal,3,11,3
2022,2,DAL,CIN,75,Punt,0,3,0
2022,2,CIN,DAL,59,Field goal,3,7,2
2022,2,DAL,CIN,75,Turnover,0,7,3
2022,2,CIN,DAL,74,Punt,0,3,0
2022,2,DAL,CIN,74,Punt,0,4,1
2022,2,CIN,DAL,83,Touchdown,7,19,7
2022,2,DAL,CIN,75,Punt,0,4,1
2022,2,CIN,DAL,92,Punt,0,3,0
2022,2,DAL,CIN,65,Field goal,3,6,2
2022,2,HOU,DEN,75,Punt,0,3,0
2022,2,DEN,HOU,92,Punt,0,6,2
2022,2,HOU,DEN,80,Punt,0,6,1
2022,2,DEN,HOU,65,Field goal,3,8,3
2022,2,HOU,DEN,76,Field goal,3,10,3
2022,2,DEN,HOU,75,Punt,0,8,2
2022,2,HOU,DEN,80,Field goal,3,10,3
2022,2,DEN,HOU,82,Punt,0,5,1
2022,2,HOU,DEN,67,Punt,0,3,0
2022,2,DEN,HOU,76,Field goal,3,9,3
2022,2,HOU,DEN,75,End of half,0,1,0
2022,2,DEN,HOU,75,Turnover,0,2,0
2022,2,HOU,DEN,45,Field goal,3,11,4
2022,2,DEN,HOU,75,Punt,0,8,2
2022,2,HOU,DEN,91,Punt,0,3,0
2022,2,DEN,HOU,62,Touchdown,7,6,3
2022,2,HOU,DEN,75,Punt,0,5,2
2022,2,DEN,HOU,86,Field goal,3,12,4
2022,2,HOU,DEN,75,Turnover on downs,0,6,2
2022,2,DEN,HOU,62,Punt,0,3,0
2022,2,HOU,DEN,75,Turnover on downs,0,4,0
2022,2,DEN,HOU,24,End of half,0,1,0
2022,2,IND,JAX,75,Turnover,0,7,2
2022,2,JAX,IND,68,Touchdown,7,15,5
2022,2,IND,JAX,62,Punt,0,3,0
2022,2,JAX,IND,84,Punt,0,3,0
2022,2,IND,JAX,56,Punt,0,3,0
2022,2,JAX,IND,79,Touchdown,7,6,4
2022,2,IND,JAX,78,Punt,0,3,0
2022,2,JAX,IND,75,Field goal,3,10,3
2022,2,IND,JAX,75,Punt,0,5,1
2022,2,JAX,IND,83,End of half,0,1,0
2022,2,JAX,IND,75,Punt,0,8,2
2022,2,IND,JAX,80,Punt,0,5,1
2022,2,JAX,IND,92,Touchdown,7,12,7
2022,2,IND,JAX,77,Turnover on downs,0,10,3
2022,2,JAX,IND,87,Punt,0,3,0
2022,2,IND,JAX,67,Turnover on downs,0,7,2
2022,2,JAX,IND,91,Punt,0,3,0
2022,2,IND,JAX,42,Turnover,0,2,0
2022,2,JAX,IND,54,Punt,0,3,0
2022,2,IND,JAX,87,Turnover,0,1,0
2022,2,JAX,IND,34,Turnover on downs,0,4,0
2022,2,IND,JAX,75,End of half,0,2,0
2022,2,KC,LAC,75,Punt,0,7,2
2022,2,LAC,KC,80,Field goal,3,11,3
2022,2,KC,LAC,75,Punt,0,3,0
2022,2,LAC,KC,58,Touchdown,7,8,3
2022,2,KC,LAC,75,Touchdown,7,7,4
2022,2,LAC,KC,67,Punt,0,6,1
2022,2,KC,LAC,92,Punt,0,5,1
2022,2,LAC,KC,77,Punt,0,6,2
2022,2,KC,LAC,87,Punt,0,3,0
2022,2,LAC,KC,91,End of half,0,1,0
2022,2,LAC,KC,75,Touchdown,7,11,5
2022,2,KC,LAC,75,Touchdown,7,7,3
2022,2,LAC,KC,75,Punt,0,3,0
2022,2,KC,LAC,71,Punt,0,3,0
2022,2,LAC,KC,91,Punt,0,3,0
2022,2,KC,LAC,36,Field goal,3,9,2
2022,2,LAC,KC,60,Opp touchdown,0,8,3
2022,2,LAC,KC,75,Punt,0,3,0
2022,2,KC,LAC,85,Punt,0,5,1
2022,2,LAC,KC,86,Punt,0,6,1
2022,2,KC,LAC,85,Field goal,3,5,2
2022,2,LAC,KC,73,Touchdown,7,9,3
2022,2,KC,LAC,44,End of half,0,2,0
2022,2,MIA,BAL,75,Turnover,0,8,3
2022,2,BAL,MIA,80,Turnover on downs,0,18,6
2022,2,MIA,BAL,94,Touchdown,7,6,4
2022,2,BAL,MIA,75,Touchdown,7,1,1
2022,2,MIA,BAL,75,Punt,0,7,1
2022,2,BAL,MIA,66,Touchdown,7,6,5
2022,2,MIA,BAL,75,Turnover,0,8,2
2022,2,BAL,MIA,80,Touchdown,7,6,4
2022,2,MIA,BAL,75,End of half,0,1,0
2022,2,MIA,BAL,75,Touchdown,7,12,6
2022,2,BAL,MIA,75,Punt,0,3,0
2022,2,MIA,BAL,71,Punt,0,6,1
2022,2,BAL,MIA,87,Touchdown,7,3,1
2022,2,MIA,BAL,75,Touchdown,7,7,4
2022,2,BAL,MIA,75,Turnover on downs,0,5,1
2022,2,MIA,BAL,59,Touchdown,7,5,2
2022,2,BAL,MIA,75,Punt,0,3,1
2022,2,MIA,BAL,64,Touchdown,7,3,1
2022,2,BAL,MIA,75,Field goal,3,6,3
2022,2,MIA,BAL,68,Touchdown,7,6,3
2022,2,BAL,MIA,75,End of half,0,4,1
2022,2,PHI,MIN,82,Touchdown,7,11,6
2022,2,MIN,PHI,75,Punt,0,3,0
2022,2,PHI,MIN,77,Punt,0,3,0
2022,2,MIN,PHI,61,Punt,0,3,0
2022,2,PHI,MIN,82,Touchdown,7,7,3
2022,2,MIN,PHI,75,Touchdown,7,9,5
2022,2,PHI,MIN,84,Punt,0,6,1
2022,2,MIN,PHI,74,Punt,0,3,0
2022,2,PHI,MIN,85,Touchdown,7,7,4
2022,2,MIN,PHI,78,Punt,0,3,1
2022,2,PHI,MIN,95,Field goal,3,8,4
