season,week,team,points,pts_allow,sack,int,fum_rec,def_td,safe,blk_kick
2025,18,LV,5.54,19.5,2.21,0.66,0.48,0.06,0,0.06
2025,18,MIA,5.55,29.25,2.08,0.59,0.45,0.1,0,0.05
2025,18,MIN,7.96,12.25,2.71,0.84,0.6,0.18,0.06,0.06
2025,18,NE,7.36,15.25,2.73,0.82,0.55,0.14,0,0.07
2025,18,NO,6.01,23.75,2.26,0.65,0.45,0.06,0,0.06
2025,18,NYG,5.42,26.5,2.08,0.61,0.46,0.1,0,0.05
2025,18,NYJ,5.47,25.5,1.92,0.59,0.39,0.1,0,0.05
2025,18,PHI,7.26,18,2.39,0.85,0.53,0.16,0.05,0.05
2025,18,PIT,6.35,23,2.18,0.68,0.48,0.15,0.05,0.05
2025,18,SEA,6.41,22.5,2.36,0.73,0.51,0.11,0,0.06
2025,18,SF,6.01,25,2.21,0.69,0.47,0.11,0,0.05
2025,18,TB,6.95,20,2.61,0.74,0.56,0.12,0,0.06
2025,18,TEN,4.45,29.25,1.72,0.51,0.4,0.05,0,0.05
2025,18,WAS,5.58,21,2.04,0.63,0.44,0.1,0,0.05
2026,1,ARI,3.45,28.5,1.87,0.44,0.38,0.05,0,0.05
2026,1,ATL,5.71,23.5,2.19,0.59,0.48,0.11,0,0.05
2026,1,BAL,7.36,22.5,2.61,0.81,0.58,0.17,0,0.06
2026,1,BUF,6.57,21.5,2.43,0.73,0.55,0.12,0,0.06
2026,1,CAR,5.98,25,2.26,0.64,0.52,0.06,0,0.06
2026,1,CHI,6.8,22,2.56,0.75,0.56,0.12,0,0.06
2026,1,CIN,6.19,23.5,2.54,0.72,0.52,0.07,0,0.07
2026,1,CLE,5.11,24.25,1.86,0.52,0.41,0.1,0,0.05
2026,1,DAL,6.79,22.5,2.64,0.75,0.57,0.06,0,0.06
2026,1,DEN,7.17,23,2.55,0.74,0.48,0.21,0,0.05
2026,1,DET,7.37,21.5,2.56,0.79,0.67,0.12,0,0.06
2026,1,GB,6.85,24,2.46,0.7,0.53,0.18,0,0.06
2026,1,HOU,7.04,23,2.24,0.75,0.51,0.19,0.05,0.05
2026,1,IND,5.64,25.5,2.11,0.63,0.47,0.11,0,0.05
2026,1,JAX,9.47,15.75,2.99,0.9,0.69,0.21,0,0.07
2026,1,KC,8.53,20.5,2.74,0.77,0.57,0.19,0,0.06
2026,1,LA,7.03,22,2.41,0.69,0.51,0.19,0.05,0.05
2026,1,LAC,8.32,19,3.07,0.88,0.66,0.15,0,0.07
2026,1,LV,8.54,18.75,3.11,0.75,0.66,0.09,0,0.09
2026,1,MIA,6.32,21.75,2.79,0.57,0.49,0.08,0,0.08
2026,1,MIN,7.31,22.5,2.59,0.77,0.59,0.12,0,0.06
2026,1,NE,6.69,23.75,2.37,0.7,0.54,0.11,0,0.05
2026,1,NO,3.82,28.5,2.02,0.52,0.41,0,0,0.05
2026,1,NYG,5.69,25.5,2.21,0.63,0.47,0.11,0,0.05
2026,1,NYJ,7.79,20,2.92,0.6,0.6,0.09,0,0.09
2026,1,PHI,8.7,19.5,2.57,0.84,0.56,0.22,0.06,0.06
2026,1,PIT,9.21,17.5,3.08,0.95,0.66,0.15,0,0.07
2026,1,SEA,8.81,20.75,2.45,0.83,0.57,0.21,0.05,0.05
2026,1,SF,5.66,25.5,2.14,0.64,0.48,0.11,0,0.05
2026,1,TB,5.58,27,2.2,0.59,0.43,0.11,0,0.05
2026,1,TEN,8.06,18.5,2.81,0.77,0.6,0.09,0,0.09
2026,1,WAS,4.74,24.5,2.05,0.53,0.37,0.05,0,0.05
2026,2,ARI,4.32,27,1.82,0.43,0.37,0.05,0,0.05
2026,2,ATL,6.89,21,2.64,0.71,0.58,0.13,0,0.06
2026,2,BAL,9.35,19.5,2.96,0.92,0.66,0.2,0,0.07
2026,2,BUF,6.72,24.25,2.49,0.75,0.56,0.12,0,0.06
2026,2,CAR,6.46,22.5,2.45,0.69,0.56,0.06,0,0.06
2026,2,CHI,6.84,21.25,2.57,0.75,0.57,0.13,0,0.06
2026,2,CIN,6.01,24,2.47,0.7,0.51,0.06,0,0.06
2026,2,CLE,5.18,24,1.88,0.52,0.42,0.1,0,0.05
2026,2,DAL,7.08,23.5,2.75,0.79,0.59,0.07,0,0.07
2026,2,DEN,7.87,20.75,2.44,0.71,0.46,0.2,0,0.05
2026,2,DET,6.21,27.25,2.16,0.67,0.56,0.1,0,0.05
2026,2,GB,9.02,18.5,2.88,0.82,0.62,0.21,0,0.07
2026,2,HOU,6.9,21.5,2.19,0.73,0.5,0.18,0.05,0.05
2026,2,IND,5.2,27,1.94,0.58,0.44,0.1,0,0.05
2026,2,JAX,6.23,23.75,2.2,0.66,0.51,0.15,0,0.05
2026,2,KC,8.83,20.5,2.85,0.8,0.6,0.2,0,0.07
2026,2,LA,9.47,20,2.9,0.84,0.61,0.22,0.06,0.06
2026,2,LAC,8.9,16.5,3.32,0.95,0.71,0.16,0,0.08
2026,2,LV,4.19,26,1.73,0.42,0.37,0.05,0,0.05
2026,2,MIA,3.15,28.5,1.83,0.38,0.32,0.05,0,0.05
2026,2,MIN,6.39,24.25,2.27,0.67,0.52,0.1,0,0.05
2026,2,NE,8.6,19.5,2.7,0.8,0.61,0.12,0,0.06
2026,2,NO,4.95,27,2.08,0.53,0.43,0,0,0.05
2026,2,NYG,2.93,28.5,1.53,0.44,0.33,0.07,0,0.04
2026,2,NYJ,4.73,24,2.04,0.42,0.42,0.06,0,0.06
2026,2,PHI,9.71,18.5,2.9,0.95,0.63,0.25,0.06,0.06
2026,2,PIT,5.9,24,2.21,0.68,0.47,0.11,0,0.05
2026,2,SEA,9.53,17.5,2.67,0.91,0.63,0.23,0.06,0.06
2026,2,SF,9.44,18,3.19,0.96,0.72,0.16,0,0.08
2026,2,TB,9.5,17.5,3.35,0.9,0.65,0.16,0,0.08
2026,2,TEN,5.06,24,2.01,0.55,0.43,0.06,0,0.06
2026,2,WAS,4.1,28,2.21,0.57,0.4,0.06,0,0.06
2026,3,ARI,4.76,22.75,2,0.47,0.41,0.06,0,0.06
2026,3,ATL,5.98,22.75,2.29,0.61,0.5,0.11,0,0.06
2026,3,BAL,6.2,22.75,2.2,0.68,0.49,0.15,0,0.05
2026,3,BUF,6.35,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,3,CAR,7.45,22.75,2.82,0.8,0.65,0.07,0,0.07
2026,3,CHI,6.41,22.75,2.41,0.71,0.53,0.12,0,0.06
2026,3,CIN,5.92,22.75,2.43,0.69,0.5,0.06,0,0.06
2026,3,CLE,6.76,22.75,2.46,0.68,0.55,0.14,0,0.07
2026,3,DAL,6.04,22.75,2.35,0.67,0.5,0.06,0,0.06
2026,3,DEN,6.59,22.75,2.34,0.68,0.44,0.2,0,0.05
2026,3,DET,7.97,22.75,2.77,0.86,0.72,0.13,0,0.07
2026,3,GB,7.71,22.75,2.77,0.79,0.59,0.2,0,0.07
2026,3,HOU,7.28,22.75,2.32,0.77,0.53,0.19,0.05,0.05
2026,3,IND,6.61,22.75,2.47,0.74,0.56,0.12,0,0.06
2026,3,JAX,6.6,22.75,2.33,0.7,0.54,0.16,0,0.05
2026,3,KC,7.77,22.75,2.83,0.79,0.59,0.2,0,0.07
2026,3,LA,7.15,22.75,2.45,0.71,0.52,0.19,0.05,0.05
2026,3,LAC,5.29,22.75,2.22,0.64,0.48,0.11,0,0.05
2026,3,LV,5.41,22.75,2.23,0.54,0.47,0.07,0,0.07
2026,3,MIA,4.76,22.75,2.1,0.43,0.37,0.06,0,0.06
2026,3,MIN,6.78,22.75,2.41,0.71,0.55,0.11,0,0.05
2026,3,NE,6.56,22.75,2.33,0.69,0.53,0.11,0,0.05
2026,3,NO,7.11,22.75,2.98,0.76,0.61,0,0,0.08
2026,3,NYG,7.62,22.75,2.96,0.85,0.64,0.14,0,0.07
2026,3,NYJ,4.41,22.75,1.9,0.39,0.39,0.06,0,0.06
2026,3,PHI,6.66,22.75,2.22,0.72,0.48,0.19,0.05,0.05
2026,3,PIT,6.59,22.75,2.47,0.76,0.53,0.12,0,0.06
2026,3,SEA,7.68,22.75,2.41,0.82,0.56,0.2,0.05,0.05
2026,3,SF,7.79,22.75,2.94,0.88,0.66,0.15,0,0.07
2026,3,TB,6.61,22.75,2.6,0.7,0.51,0.13,0,0.06
2026,3,TEN,6.1,22.75,2.43,0.66,0.51,0.07,0,0.07
2026,3,WAS,5.56,22.75,2.41,0.62,0.43,0.06,0,0.06
2026,4,ARI,5.96,22.75,2.5,0.59,0.51,0.07,0,0.07
2026,4,ATL,6.29,22.75,2.41,0.65,0.53,0.12,0,0.06
2026,4,BAL,8.37,22.75,2.96,0.92,0.66,0.2,0,0.07
2026,4,BUF,6.35,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,4,CAR,5.88,22.75,2.23,0.63,0.51,0.06,0,0.06
2026,4,CHI,7.82,22.75,2.94,0.86,0.65,0.14,0,0.07
2026,4,CIN,5.87,22.75,2.41,0.68,0.49,0.06,0,0.06
2026,4,CLE,6.23,22.75,2.27,0.63,0.5,0.13,0,0.06
2026,4,DAL,6.29,22.75,2.45,0.7,0.52,0.06,0,0.06
2026,4,DEN,6.75,22.75,2.4,0.7,0.45,0.2,0,0.05
2026,4,DET,6.9,22.75,2.4,0.74,0.63,0.11,0,0.06
2026,4,GB,6.4,22.75,2.3,0.66,0.49,0.16,0,0.05
2026,4,HOU,6.66,22.75,2.12,0.71,0.49,0.18,0.04,0.04
2026,4,IND,6.48,22.75,2.42,0.73,0.55,0.12,0,0.06
2026,4,JAX,6.1,22.75,2.15,0.65,0.5,0.15,0,0.05
2026,4,KC,7.64,22.75,2.78,0.78,0.58,0.19,0,0.06
2026,4,LA,6.71,22.75,2.29,0.66,0.49,0.18,0.04,0.04
2026,4,LAC,5.76,22.75,2.42,0.69,0.52,0.12,0,0.06
2026,4,LV,4.71,22.75,1.94,0.47,0.41,0.06,0,0.06
2026,4,MIA,4.98,22.75,2.2,0.45,0.39,0.06,0,0.06
2026,4,MIN,8.39,22.75,2.98,0.88,0.68,0.14,0,0.07
2026,4,NE,5.84,22.75,2.07,0.61,0.47,0.09,0,0.05
2026,4,NO,6.73,22.75,2.82,0.72,0.58,0,0,0.07
2026,4,NYG,7.31,22.75,2.84,0.81,0.61,0.14,0,0.07
2026,4,NYJ,4.88,22.75,2.1,0.43,0.43,0.06,0,0.06
2026,4,PHI,6.49,22.75,2.16,0.71,0.47,0.19,0.05,0.05
2026,4,PIT,7.84,22.75,2.94,0.91,0.63,0.14,0,0.07
2026,4,SEA,7.06,22.75,2.21,0.75,0.52,0.19,0.05,0.05
2026,4,SF,6.42,22.75,2.42,0.73,0.55,0.12,0,0.06
2026,4,TB,6.61,22.75,2.6,0.7,0.51,0.13,0,0.06
2026,4,TEN,4.88,22.75,1.94,0.53,0.41,0.06,0,0.06
2026,4,WAS,6.25,22.75,2.71,0.69,0.49,0.07,0,0.07
2026,5,ARI,4.76,22.75,2,0.47,0.41,0.06,0,0.06
2026,5,ATL,6.29,22.75,2.41,0.65,0.53,0.12,0,0.06
2026,5,BAL,7.47,22.75,2.65,0.82,0.59,0.18,0,0.06
2026,5,BUF,6.35,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,5,CHI,6.41,22.75,2.41,0.71,0.53,0.12,0,0.06
2026,5,CIN,5.59,22.75,2.29,0.65,0.47,0.06,0,0.06
2026,5,CLE,5.82,22.75,2.12,0.59,0.47,0.12,0,0.06
2026,5,DAL,6.35,22.75,2.47,0.71,0.53,0.06,0,0.06
2026,5,DEN,7.94,22.75,2.82,0.82,0.53,0.24,0,0.06
2026,5,DET,7.12,22.75,2.47,0.76,0.65,0.12,0,0.06
2026,5,GB,6.88,22.75,2.47,0.71,0.53,0.18,0,0.06
2026,5,HOU,8.88,22.75,2.82,0.94,0.65,0.24,0.06,0.06
2026,5,IND,6.29,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,5,JAX,7.18,22.75,2.53,0.76,0.59,0.18,0,0.06
2026,5,LA,8.94,22.75,3.06,0.88,0.65,0.24,0.06,0.06
2026,5,LAC,5.88,22.75,2.47,0.71,0.53,0.12,0,0.06
2026,5,LV,4.71,22.75,1.94,0.47,0.41,0.06,0,0.06
2026,5,MIA,4.53,22.75,2,0.41,0.35,0.06,0,0.06
2026,5,MIN,7.29,22.75,2.59,0.76,0.59,0.12,0,0.06
2026,5,NE,7.29,22.75,2.59,0.76,0.59,0.12,0,0.06
2026,5,NO,5.47,22.75,2.29,0.59,0.47,0,0,0.06
2026,5,NYG,6.35,22.75,2.47,0.71,0.53,0.12,0,0.06
2026,5,NYJ,4.65,22.75,2,0.41,0.41,0.06,0,0.06
2026,5,PHI,8.12,22.75,2.71,0.88,0.59,0.24,0.06,0.06
2026,5,PIT,6.59,22.75,2.47,0.76,0.53,0.12,0,0.06
2026,5,SEA,8.82,22.75,2.76,0.94,0.65,0.24,0.06,0.06
2026,5,SF,6.24,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,5,TB,6.12,22.75,2.41,0.65,0.47,0.12,0,0.06
2026,5,TEN,4.88,22.75,1.94,0.53,0.41,0.06,0,0.06
2026,5,WAS,5.29,22.75,2.29,0.59,0.41,0.06,0,0.06
2026,6,ARI,4.76,22.75,2,0.47,0.41,0.06,0,0.06
2026,6,ATL,6.29,22.75,2.41,0.65,0.53,0.12,0,0.06
2026,6,BAL,7.47,22.75,2.65,0.82,0.59,0.18,0,0.06
2026,6,BUF,6.35,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,6,CAR,6.06,22.75,2.29,0.65,0.53,0.06,0,0.06
2026,6,CHI,6.41,22.75,2.41,0.71,0.53,0.12,0,0.06
2026,6,CLE,5.82,22.75,2.12,0.59,0.47,0.12,0,0.06
2026,6,DAL,6.35,22.75,2.47,0.71,0.53,0.06,0,0.06
2026,6,DEN,7.94,22.75,2.82,0.82,0.53,0.24,0,0.06
2026,6,GB,6.88,22.75,2.47,0.71,0.53,0.18,0,0.06
2026,6,HOU,8.88,22.75,2.82,0.94,0.65,0.24,0.06,0.06
2026,6,IND,6.29,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,6,JAX,7.18,22.75,2.53,0.76,0.59,0.18,0,0.06
2026,6,KC,6.94,22.75,2.53,0.71,0.53,0.18,0,0.06
2026,6,LA,8.94,22.75,3.06,0.88,0.65,0.24,0.06,0.06
2026,6,LAC,5.88,22.75,2.47,0.71,0.53,0.12,0,0.06
2026,6,LV,4.71,22.75,1.94,0.47,0.41,0.06,0,0.06
2026,6,NE,7.29,22.75,2.59,0.76,0.59,0.12,0,0.06
2026,6,NO,5.47,22.75,2.29,0.59,0.47,0,0,0.06
2026,6,NYG,6.35,22.75,2.47,0.71,0.53,0.12,0,0.06
2026,6,NYJ,4.65,22.75,2,0.41,0.41,0.06,0,0.06
2026,6,PHI,8.12,22.75,2.71,0.88,0.59,0.24,0.06,0.06
2026,6,PIT,6.59,22.75,2.47,0.76,0.53,0.12,0,0.06
2026,6,SEA,8.82,22.75,2.76,0.94,0.65,0.24,0.06,0.06
2026,6,SF,6.24,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,6,TB,6.12,22.75,2.41,0.65,0.47,0.12,0,0.06
2026,6,TEN,4.88,22.75,1.94,0.53,0.41,0.06,0,0.06
2026,6,WAS,5.29,22.75,2.29,0.59,0.41,0.06,0,0.06
2026,7,ARI,4.76,22.75,2,0.47,0.41,0.06,0,0.06
2026,7,ATL,6.29,22.75,2.41,0.65,0.53,0.12,0,0.06
2026,7,BAL,7.47,22.75,2.65,0.82,0.59,0.18,0,0.06
2026,7,CAR,6.06,22.75,2.29,0.65,0.53,0.06,0,0.06
2026,7,CHI,6.41,22.75,2.41,0.71,0.53,0.12,0,0.06
2026,7,CIN,5.59,22.75,2.29,0.65,0.47,0.06,0,0.06
2026,7,CLE,5.82,22.75,2.12,0.59,0.47,0.12,0,0.06
2026,7,DAL,6.35,22.75,2.47,0.71,0.53,0.06,0,0.06
2026,7,DEN,7.94,22.75,2.82,0.82,0.53,0.24,0,0.06
2026,7,DET,7.12,22.75,2.47,0.76,0.65,0.12,0,0.06
2026,7,GB,6.88,22.75,2.47,0.71,0.53,0.18,0,0.06
2026,7,HOU,8.88,22.75,2.82,0.94,0.65,0.24,0.06,0.06
2026,7,IND,6.29,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,7,KC,6.94,22.75,2.53,0.71,0.53,0.18,0,0.06
2026,7,LA,8.94,22.75,3.06,0.88,0.65,0.24,0.06,0.06
2026,7,LV,4.71,22.75,1.94,0.47,0.41,0.06,0,0.06
2026,7,MIA,4.53,22.75,2,0.41,0.35,0.06,0,0.06
2026,7,MIN,7.29,22.75,2.59,0.76,0.59,0.12,0,0.06
2026,7,NE,7.29,22.75,2.59,0.76,0.59,0.12,0,0.06
2026,7,NO,5.47,22.75,2.29,0.59,0.47,0,0,0.06
2026,7,NYG,6.35,22.75,2.47,0.71,0.53,0.12,0,0.06
2026,7,NYJ,4.65,22.75,2,0.41,0.41,0.06,0,0.06
2026,7,PHI,8.12,22.75,2.71,0.88,0.59,0.24,0.06,0.06
2026,7,PIT,6.59,22.75,2.47,0.76,0.53,0.12,0,0.06
2026,7,SEA,8.82,22.75,2.76,0.94,0.65,0.24,0.06,0.06
2026,7,SF,6.24,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,7,TB,6.12,22.75,2.41,0.65,0.47,0.12,0,0.06
2026,7,TEN,4.88,22.75,1.94,0.53,0.41,0.06,0,0.06
2026,8,ARI,4.76,22.75,2,0.47,0.41,0.06,0,0.06
2026,8,ATL,6.29,22.75,2.41,0.65,0.53,0.12,0,0.06
2026,8,BAL,7.47,22.75,2.65,0.82,0.59,0.18,0,0.06
2026,8,BUF,6.35,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,8,CAR,6.06,22.75,2.29,0.65,0.53,0.06,0,0.06
2026,8,CHI,6.41,22.75,2.41,0.71,0.53,0.12,0,0.06
2026,8,CIN,5.59,22.75,2.29,0.65,0.47,0.06,0,0.06
2026,8,CLE,5.82,22.75,2.12,0.59,0.47,0.12,0,0.06
2026,8,DAL,6.35,22.75,2.47,0.71,0.53,0.06,0,0.06
2026,8,DEN,7.94,22.75,2.82,0.82,0.53,0.24,0,0.06
2026,8,DET,7.12,22.75,2.47,0.76,0.65,0.12,0,0.06
2026,8,GB,6.88,22.75,2.47,0.71,0.53,0.18,0,0.06
2026,8,IND,6.29,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,8,JAX,7.18,22.75,2.53,0.76,0.59,0.18,0,0.06
2026,8,KC,6.94,22.75,2.53,0.71,0.53,0.18,0,0.06
2026,8,LA,8.94,22.75,3.06,0.88,0.65,0.24,0.06,0.06
2026,8,LAC,5.88,22.75,2.47,0.71,0.53,0.12,0,0.06
2026,8,LV,4.71,22.75,1.94,0.47,0.41,0.06,0,0.06
2026,8,MIA,4.53,22.75,2,0.41,0.35,0.06,0,0.06
2026,8,MIN,7.29,22.75,2.59,0.76,0.59,0.12,0,0.06
2026,8,NE,7.29,22.75,2.59,0.76,0.59,0.12,0,0.06
2026,8,NYJ,4.65,22.75,2,0.41,0.41,0.06,0,0.06
2026,8,PHI,8.12,22.75,2.71,0.88,0.59,0.24,0.06,0.06
2026,8,PIT,6.59,22.75,2.47,0.76,0.53,0.12,0,0.06
2026,8,SEA,8.82,22.75,2.76,0.94,0.65,0.24,0.06,0.06
2026,8,TB,6.12,22.75,2.41,0.65,0.47,0.12,0,0.06
2026,8,TEN,4.88,22.75,1.94,0.53,0.41,0.06,0,0.06
2026,8,WAS,5.29,22.75,2.29,0.59,0.41,0.06,0,0.06
2026,9,ARI,4.76,22.75,2,0.47,0.41,0.06,0,0.06
2026,9,ATL,6.29,22.75,2.41,0.65,0.53,0.12,0,0.06
2026,9,BAL,7.47,22.75,2.65,0.82,0.59,0.18,0,0.06
2026,9,BUF,6.35,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,9,CAR,6.06,22.75,2.29,0.65,0.53,0.06,0,0.06
2026,9,CHI,6.41,22.75,2.41,0.71,0.53,0.12,0,0.06
2026,9,CIN,5.59,22.75,2.29,0.65,0.47,0.06,0,0.06
2026,9,CLE,5.82,22.75,2.12,0.59,0.47,0.12,0,0.06
2026,9,DAL,6.35,22.75,2.47,0.71,0.53,0.06,0,0.06
2026,9,DEN,7.94,22.75,2.82,0.82,0.53,0.24,0,0.06
2026,9,DET,7.12,22.75,2.47,0.76,0.65,0.12,0,0.06
2026,9,GB,6.88,22.75,2.47,0.71,0.53,0.18,0,0.06
2026,9,HOU,8.88,22.75,2.82,0.94,0.65,0.24,0.06,0.06
2026,9,IND,6.29,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,9,JAX,7.18,22.75,2.53,0.76,0.59,0.18,0,0.06
2026,9,KC,6.94,22.75,2.53,0.71,0.53,0.18,0,0.06
2026,9,LA,8.94,22.75,3.06,0.88,0.65,0.24,0.06,0.06
2026,9,LAC,5.88,22.75,2.47,0.71,0.53,0.12,0,0.06
2026,9,LV,4.71,22.75,1.94,0.47,0.41,0.06,0,0.06
2026,9,MIA,4.53,22.75,2,0.41,0.35,0.06,0,0.06
2026,9,MIN,7.29,22.75,2.59,0.76,0.59,0.12,0,0.06
2026,9,NE,7.29,22.75,2.59,0.76,0.59,0.12,0,0.06
2026,9,NO,5.47,22.75,2.29,0.59,0.47,0,0,0.06
2026,9,NYG,6.35,22.75,2.47,0.71,0.53,0.12,0,0.06
2026,9,NYJ,4.65,22.75,2,0.41,0.41,0.06,0,0.06
2026,9,PHI,8.12,22.75,2.71,0.88,0.59,0.24,0.06,0.06
2026,9,SEA,8.82,22.75,2.76,0.94,0.65,0.24,0.06,0.06
2026,9,SF,6.24,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,9,TB,6.12,22.75,2.41,0.65,0.47,0.12,0,0.06
2026,9,WAS,5.29,22.75,2.29,0.59,0.41,0.06,0,0.06
2026,10,ARI,4.76,22.75,2,0.47,0.41,0.06,0,0.06
2026,10,ATL,6.29,22.75,2.41,0.65,0.53,0.12,0,0.06
2026,10,BAL,7.47,22.75,2.65,0.82,0.59,0.18,0,0.06
2026,10,BUF,6.35,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,10,CAR,6.06,22.75,2.29,0.65,0.53,0.06,0,0.06
2026,10,CIN,5.59,22.75,2.29,0.65,0.47,0.06,0,0.06
2026,10,CLE,5.82,22.75,2.12,0.59,0.47,0.12,0,0.06
2026,10,DAL,6.35,22.75,2.47,0.71,0.53,0.06,0,0.06
2026,10,DET,7.12,22.75,2.47,0.76,0.65,0.12,0,0.06
2026,10,GB,6.88,22.75,2.47,0.71,0.53,0.18,0,0.06
2026,10,HOU,8.88,22.75,2.82,0.94,0.65,0.24,0.06,0.06
2026,10,IND,6.29,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,10,JAX,7.18,22.75,2.53,0.76,0.59,0.18,0,0.06
2026,10,KC,6.94,22.75,2.53,0.71,0.53,0.18,0,0.06
2026,10,LA,8.94,22.75,3.06,0.88,0.65,0.24,0.06,0.06
2026,10,LAC,5.88,22.75,2.47,0.71,0.53,0.12,0,0.06
2026,10,LV,4.71,22.75,1.94,0.47,0.41,0.06,0,0.06
2026,10,MIA,4.53,22.75,2,0.41,0.35,0.06,0,0.06
2026,10,MIN,7.29,22.75,2.59,0.76,0.59,0.12,0,0.06
2026,10,NE,7.29,22.75,2.59,0.76,0.59,0.12,0,0.06
2026,10,NO,5.47,22.75,2.29,0.59,0.47,0,0,0.06
2026,10,NYG,6.35,22.75,2.47,0.71,0.53,0.12,0,0.06
2026,10,NYJ,4.65,22.75,2,0.41,0.41,0.06,0,0.06
2026,10,PIT,6.59,22.75,2.47,0.76,0.53,0.12,0,0.06
2026,10,SEA,8.82,22.75,2.76,0.94,0.65,0.24,0.06,0.06
2026,10,SF,6.24,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,10,TEN,4.88,22.75,1.94,0.53,0.41,0.06,0,0.06
2026,10,WAS,5.29,22.75,2.29,0.59,0.41,0.06,0,0.06
2026,11,ARI,4.76,22.75,2,0.47,0.41,0.06,0,0.06
2026,11,BAL,7.47,22.75,2.65,0.82,0.59,0.18,0,0.06
2026,11,BUF,6.35,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,11,CAR,6.06,22.75,2.29,0.65,0.53,0.06,0,0.06
2026,11,CHI,6.41,22.75,2.41,0.71,0.53,0.12,0,0.06
2026,11,CIN,5.59,22.75,2.29,0.65,0.47,0.06,0,0.06
2026,11,DAL,6.35,22.75,2.47,0.71,0.53,0.06,0,0.06
2026,11,DEN,7.94,22.75,2.82,0.82,0.53,0.24,0,0.06
2026,11,DET,7.12,22.75,2.47,0.76,0.65,0.12,0,0.06
2026,11,HOU,8.88,22.75,2.82,0.94,0.65,0.24,0.06,0.06
2026,11,IND,6.29,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,11,JAX,7.18,22.75,2.53,0.76,0.59,0.18,0,0.06
2026,11,KC,6.94,22.75,2.53,0.71,0.53,0.18,0,0.06
2026,11,LAC,5.88,22.75,2.47,0.71,0.53,0.12,0,0.06
2026,11,LV,4.71,22.75,1.94,0.47,0.41,0.06,0,0.06
2026,11,MIA,4.53,22.75,2,0.41,0.35,0.06,0,0.06
2026,11,MIN,7.29,22.75,2.59,0.76,0.59,0.12,0,0.06
2026,11,NO,5.47,22.75,2.29,0.59,0.47,0,0,0.06
2026,11,NYG,6.35,22.75,2.47,0.71,0.53,0.12,0,0.06
2026,11,NYJ,4.65,22.75,2,0.41,0.41,0.06,0,0.06
2026,11,PHI,8.12,22.75,2.71,0.88,0.59,0.24,0.06,0.06
2026,11,PIT,6.59,22.75,2.47,0.76,0.53,0.12,0,0.06
2026,11,SF,6.24,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,11,TB,6.12,22.75,2.41,0.65,0.47,0.12,0,0.06
2026,11,TEN,4.88,22.75,1.94,0.53,0.41,0.06,0,0.06
2026,11,WAS,5.29,22.75,2.29,0.59,0.41,0.06,0,0.06
2026,12,ARI,4.76,22.75,2,0.47,0.41,0.06,0,0.06
2026,12,ATL,6.29,22.75,2.41,0.65,0.53,0.12,0,0.06
2026,12,BAL,7.47,22.75,2.65,0.82,0.59,0.18,0,0.06
2026,12,BUF,6.35,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,12,CAR,6.06,22.75,2.29,0.65,0.53,0.06,0,0.06
2026,12,CHI,6.41,22.75,2.41,0.71,0.53,0.12,0,0.06
2026,12,CIN,5.59,22.75,2.29,0.65,0.47,0.06,0,0.06
2026,12,CLE,5.82,22.75,2.12,0.59,0.47,0.12,0,0.06
2026,12,DAL,6.35,22.75,2.47,0.71,0.53,0.06,0,0.06
2026,12,DEN,7.94,22.75,2.82,0.82,0.53,0.24,0,0.06
2026,12,DET,7.12,22.75,2.47,0.76,0.65,0.12,0,0.06
2026,12,GB,6.88,22.75,2.47,0.71,0.53,0.18,0,0.06
2026,12,HOU,8.88,22.75,2.82,0.94,0.65,0.24,0.06,0.06
2026,12,IND,6.29,22.75,2.35,0.71,0.53,0.12,0,0.06
2026,12,JAX,7.18,22.75,2.53,0.76,0.59,0.18,0,0.06
2026,12,KC,6.94,22.75,2.53,0.71,0.53,0.18,0,0.06
2026,12,LA,8.94,22.75,3.06,0.88,0.65,0.24,0.06,0.06
2026,12,LAC,5.88,22.75,2.47,0.71,0.53,0.12,0,0.06
2026,12,LV,4.71,22.75,1.94,0.47,0.41,0.06,0,0.06
2026,12,MIA,4.53,22.75,2,0.41,0.35,0.06,0,0.06
2026,12,MIN,7.29,22.75,2.59,0.76,0.59,0.12,0,0.06
