season,week,offense,defense,down,togo,yardline,margin,seconds,playType,player,passer,airYards,caught,yards,touchdown,shotgun,manZone,coverage,rushers,shell,box,afterCatch
2021,1,ARI,TEN,2,2,2,11,1909,run,00-0035228,,,,2,1,0,,,,,,
2021,1,TEN,ARI,1,10,75,-18,1904,pass,00-0027944,00-0029701,5,1,9,0,1,,,,,,4
2021,1,TEN,ARI,2,1,66,-18,1883,run,00-0029701,,,,16,0,1,,,,,,
2021,1,TEN,ARI,1,10,50,-18,1861,pass,00-0033955,00-0029701,5,1,9,0,1,,,,,,4
2021,1,TEN,ARI,2,1,41,-18,1842,pass,00-0033455,00-0029701,4,1,4,0,1,,,,,,0
2021,1,TEN,ARI,1,10,37,-18,1837,pass,00-0033455,00-0029701,4,1,4,0,1,,,,,,0
2021,1,TEN,ARI,2,1,28,-18,1828,pass,00-0027944,00-0029701,13,0,0,0,1,,,,,,0
2021,1,TEN,ARI,3,1,28,-18,1824,pass,00-0035676,00-0029701,28,0,0,0,1,,,,,,0
2021,1,ARI,TEN,1,10,64,18,1814,pass,00-0036936,00-0035228,-3,1,12,0,1,,,,,,15
2021,1,ARI,TEN,1,10,52,18,1808,pass,00-0030564,00-0035228,14,0,0,0,1,,,,,,0
2021,1,ARI,TEN,2,10,52,18,1802,pass,00-0034681,00-0035228,0,1,36,0,1,,,,,,36
2021,1,ARI,TEN,1,10,84,18,1793,run,00-0034681,,,,4,0,0,,,,,,
2021,1,ARI,TEN,2,6,80,18,1758,pass,00-0034681,00-0035228,-6,1,3,0,1,,,,,,9
2021,1,ARI,TEN,3,3,77,18,1734,pass,00-0030155,00-0035228,21,0,0,0,1,,,,,,0
2021,1,TEN,ARI,1,10,32,-18,1722,pass,00-0035676,00-0029701,14,1,19,0,1,,,,,,5
2021,1,TEN,ARI,1,10,13,-18,1679,pass,00-0035676,00-0029701,13,1,13,1,1,,,,,,0
2021,1,ARI,TEN,1,10,75,11,1675,pass,00-0036936,00-0035228,-4,1,29,0,1,,,,,,33
2021,1,ARI,TEN,1,10,46,11,1635,run,00-0034681,,,,3,0,1,,,,,,
2021,1,ARI,TEN,2,7,43,11,1612,pass,00-0030564,00-0035228,7,1,10,0,1,,,,,,3
2021,1,ARI,TEN,1,10,33,11,1586,run,00-0033553,,,,7,0,1,,,,,,
2021,1,ARI,TEN,2,3,26,11,1550,pass,00-0030155,00-0035228,-1,0,0,0,0,,,,,,0
2021,1,ARI,TEN,3,3,26,11,1545,pass,00-0034775,00-0035228,26,1,26,1,1,,,,,,0
2021,1,TEN,ARI,1,15,80,-18,1540,pass,00-0032355,00-0029701,7,1,9,0,1,,,,,,2
2021,1,TEN,ARI,2,6,71,-18,1508,run,00-0032764,,,,1,0,0,,,,,,
2021,1,TEN,ARI,3,5,70,-18,1469,pass,00-0027944,00-0029701,23,0,0,0,1,,,,,,0
2021,1,ARI,TEN,1,10,53,18,1461,pass,00-0030564,00-0035228,18,0,0,0,1,,,,,,0
2021,1,ARI,TEN,2,10,53,18,1454,pass,00-0027942,00-0035228,10,0,0,0,1,,,,,,0
2021,1,ARI,TEN,3,10,53,18,1450,pass,,00-0035228,0,0,-7,0,1,,,,,,0
2021,1,TEN,ARI,1,10,90,-18,1405,run,00-0032764,,,,19,0,0,,,,,,
2021,1,TEN,ARI,1,10,71,-18,1375,run,00-0032764,,,,4,0,0,,,,,,
2021,1,TEN,ARI,2,6,67,-18,1340,run,00-0032764,,,,8,0,0,,,,,,
2021,1,TEN,ARI,1,15,64,-18,1296,run,00-0032764,,,,8,0,1,,,,,,
2021,1,TEN,ARI,2,7,56,-18,1272,run,00-0032764,,,,-1,0,0,,,,,,
2021,1,TEN,ARI,3,8,57,-18,1228,pass,,00-0029701,0,0,-10,0,1,,,,,,0
2021,1,ARI,TEN,1,10,33,18,1218,run,00-0034681,,,,16,0,1,,,,,,
2021,1,ARI,TEN,1,10,17,18,1180,run,00-0033553,,,,4,0,0,,,,,,
2021,1,ARI,TEN,2,6,13,18,1137,run,00-0033553,,,,2,0,0,,,,,,
2021,1,ARI,TEN,3,4,11,18,1091,pass,00-0034775,00-0035228,11,1,11,1,1,,,,,,0
2021,1,TEN,ARI,1,10,75,-25,1086,pass,00-0032355,00-0029701,10,0,0,0,1,,,,,,0
2021,1,TEN,ARI,2,10,75,-25,1082,run,00-0032764,,,,4,0,1,,,,,,
2021,1,TEN,ARI,3,6,71,-25,1041,pass,00-0027944,00-0029701,10,1,10,0,1,,,,,,0
2021,1,TEN,ARI,1,10,61,-25,1010,run,00-0032764,,,,7,0,1,,,,,,
2021,1,TEN,ARI,2,3,54,-25,989,pass,00-0035676,00-0029701,7,0,0,0,1,,,,,,0
2021,1,TEN,ARI,3,3,54,-25,986,pass,00-0035676,00-0029701,3,1,5,0,1,,,,,,2
2021,1,TEN,ARI,1,10,49,-25,959,pass,00-0036182,00-0029701,9,0,0,0,1,,,,,,0
2021,1,TEN,ARI,2,10,49,-25,957,pass,00-0032764,00-0029701,4,0,0,0,1,,,,,,0
