season,player,team,situation,touches,scores,yards,teamPlays
2022,00-0033308,NYG,redZone,6,0,34,69
2022,00-0034844,NYG,insideTen,14,1,38,49
2022,00-0034253,TEN,earlyAndLong,19,1,112,495
2022,00-0034253,TEN,earlyDown,5,0,22,120
2022,00-0036182,TEN,thirdAndMedium,5,0,23,65
2022,00-0036913,NYG,earlyAndLong,19,0,189,609
2022,00-0034286,NYG,thirdAndMedium,10,0,21,81
2022,00-0035710,NYG,redZone,13,1,53,69
2022,00-0037809,TEN,earlyAndLong,25,1,249,495
2022,00-0032141,TEN,earlyAndLong,7,0,37,495
2022,00-0037809,TEN,thirdAndShort,4,0,23,37
2022,00-0033308,NYG,chasingLate,5,0,14,35
2022,00-0034844,NYG,redZone,16,1,53,69
2022,00-0034844,NYG,goalLine,12,7,19,30
2022,00-0037273,TEN,chasingLate,3,0,32,38
2022,00-0032392,TEN,chasingLate,4,0,38,38
2022,00-0036275,DET,earlyAndLong,89,1,495,518
2022,00-0033948,DET,earlyAndLong,144,0,644,518
2022,00-0033948,DET,redZone,14,1,43,86
2022,00-0035229,DET,redZone,12,2,64,86
2022,00-0033948,DET,insideTen,25,2,63,62
2022,00-0033948,DET,goalLine,22,13,12,48
2022,00-0036389,PHI,earlyAndLong,62,0,343,649
2022,00-0036389,PHI,earlyDown,20,0,116,165
2022,00-0034351,PHI,earlyAndLong,52,1,535,649
2022,00-0036919,PHI,earlyAndLong,45,0,225,649
2022,00-0036389,PHI,thirdAndLong,10,1,104,91
2022,00-0035243,PHI,earlyAndLong,180,1,893,649
2022,00-0036912,PHI,earlyDown,17,0,124,165
2022,00-0036912,PHI,thirdAndMedium,14,0,160,74
2022,00-0035676,PHI,fourthDown,6,0,21,24
2022,00-0036963,DET,earlyAndLong,64,0,591,518
2022,00-0036963,DET,thirdAndMedium,18,0,177,50
2022,00-0035676,PHI,earlyAndLong,88,5,947,649
2022,00-0035676,PHI,earlyDown,22,2,197,165
2022,00-0036389,PHI,thirdAndMedium,8,0,61,74
2022,00-0035676,PHI,thirdAndMedium,14,0,251,74
2022,00-0035676,PHI,insideTen,6,2,21,75
2022,00-0035243,PHI,insideTen,21,4,55,75
2022,00-0036389,PHI,goalLine,23,12,28,47
2022,00-0034777,DET,thirdAndLong,9,0,59,88
2022,00-0035229,DET,earlyAndLong,60,1,438,518
2022,00-0036963,DET,thirdAndLong,18,0,154,88
2022,00-0034351,PHI,thirdAndShort,3,0,49,49
2022,00-0036389,PHI,insideTen,12,4,38,75
2022,00-0035243,PHI,goalLine,8,5,11,47
2022,00-0034777,DET,earlyAndLong,21,1,245,518
2022,00-0036275,DET,redZone,24,1,125,86
2022,00-0036275,DET,insideTen,10,4,53,62
2022,00-0036919,PHI,earlyDown,14,0,73,165
2022,00-0036919,PHI,insideTen,15,3,46,75
2022,00-0036389,PHI,redZone,17,0,94,110
2022,00-0036919,PHI,goalLine,4,1,5,47
2022,00-0036275,DET,thirdAndLong,12,1,125,88
2022,00-0034777,DET,thirdAndMedium,6,0,26,50
2022,00-0032464,DET,earlyAndLong,31,0,325,518
2022,00-0033943,DET,insideTen,8,1,16,62
2022,00-0036963,DET,insideTen,6,3,23,62
2022,00-0034414,PHI,goalLine,6,3,6,47
2022,00-0036963,DET,earlyDown,15,0,141,134
2022,00-0036912,PHI,earlyAndLong,84,1,739,649
2022,00-0036912,PHI,thirdAndLong,20,0,153,91
2022,00-0033943,DET,earlyDown,14,0,87,134
2022,00-0036275,DET,earlyDown,15,0,77,134
2022,00-0036275,DET,thirdAndMedium,6,0,26,50
2022,00-0034777,DET,thirdAndShort,4,1,28,32
2022,00-0035243,PHI,earlyDown,57,0,322,165
2022,00-0035243,PHI,thirdAndShort,12,0,62,49
2022,00-0034414,PHI,earlyAndLong,35,0,194,649
2022,00-0036389,PHI,fourthDown,10,0,46,24
2022,00-0036894,PIT,earlyAndLong,38,0,268,549
2022,00-0036326,PIT,earlyDown,7,0,40,138
2022,00-0035216,PIT,thirdAndShort,5,0,15,44
2022,00-0033009,CIN,earlyAndLong,40,1,451,609
2022,00-0033897,CIN,earlyAndLong,192,0,938,609
2022,00-0033897,CIN,earlyDown,61,0,263,178
2022,00-0034830,CIN,thirdAndLong,12,0,81,96
2022,00-0036410,CIN,earlyAndLong,74,2,745,609
2022,00-0034830,CIN,earlyAndLong,41,0,264,609
2022,00-0036326,PIT,earlyAndLong,45,0,306,549
2022,00-0036893,PIT,earlyAndLong,187,0,759,549
2022,00-0036893,PIT,goalLine,9,3,3,32
2022,00-0036900,CIN,earlyAndLong,75,2,595,609
2022,00-0036900,CIN,thirdAndShort,6,0,41,39
2022,00-0036442,CIN,thirdAndMedium,7,0,56,63
2022,00-0037228,PIT,earlyAndLong,51,0,281,549
2022,00-0035222,PIT,earlyAndLong,12,0,77,549
2022,00-0036893,PIT,insideTen,18,6,65,43
2022,00-0036326,PIT,insideTen,3,1,10,43
2022,00-0036900,CIN,thirdAndMedium,12,1,51,63
2022,00-0033897,CIN,insideTen,26,2,65,65
2022,00-0036900,CIN,insideTen,7,4,26,65
2022,00-0036442,CIN,thirdAndLong,5,0,33,96
2022,00-0037247,PIT,earlyAndLong,42,0,368,549
2022,00-0037247,PIT,thirdAndLong,14,2,137,91
2022,00-0033526,CIN,earlyAndLong,81,1,419,609
2022,00-0033009,CIN,thirdAndMedium,8,0,38,63
2022,00-0036442,CIN,insideTen,8,1,22,65
2022,00-0033009,CIN,goalLine,6,2,9,41
2022,00-0035216,PIT,earlyAndLong,82,0,526,549
2022,00-0035222,PIT,thirdAndLong,5,0,29,91
2022,00-0033526,CIN,thirdAndLong,16,0,80,96
2022,00-0035216,PIT,thirdAndLong,14,0,106,91
2022,00-0036900,CIN,earlyDown,27,1,217,178
2022,00-0037247,PIT,earlyDown,7,0,68,138
2022,00-0036894,PIT,thirdAndMedium,9,0,83,67
2022,00-0036442,CIN,earlyAndLong,20,0,172,609
2022,00-0033897,CIN,chasingLate,3,0,20,7
2022,00-0036900,CIN,redZone,20,2,131,103
2022,00-0033897,CIN,goalLine,14,6,10,41
2022,00-0036900,CIN,goalLine,4,0,0,41
2022,00-0034830,CIN,goalLine,3,1,3,41
2022,00-0036326,PIT,thirdAndLong,12,0,113,91
2022,00-0036326,PIT,thirdAndMedium,9,0,37,67
2022,00-0033526,CIN,earlyDown,32,0,154,178
2022,00-0034830,CIN,thirdAndMedium,6,0,58,63
2022,00-0033897,CIN,redZone,23,2,92,103
2022,00-0035216,PIT,thirdAndMedium,15,0,76,67
2022,00-0036442,CIN,earlyDown,7,0,23,178
2022,00-0036894,PIT,thirdAndShort,3,0,43,44
2022,00-0035685,CHI,earlyAndLong,125,0,590,480
2022,00-0036261,SF,earlyAndLong,74,2,840,611
2022,00-0035719,SF,earlyAndLong,98,2,697,611
2022,00-0037012,SF,thirdAndShort,3,0,8,38
2022,00-0035719,SF,redZone,12,1,48,96
2022,00-0035685,CHI,earlyDown,36,0,138,114
2022,00-0035685,CHI,thirdAndMedium,10,0,82,67
2022,00-0030108,CHI,earlyAndLong,5,0,24,480
2022,00-0036309,CHI,thirdAndLong,6,0,75,86
2022,00-0036567,SF,earlyAndLong,41,0,230,611
2022,00-0032214,SF,earlyAndLong,4,0,29,611
2022,00-0036906,CHI,earlyAndLong,86,1,545,480
2022,00-0036945,CHI,earlyDown,19,0,101,114
2022,00-0036259,SF,thirdAndMedium,15,0,128,61
2022,00-0035685,CHI,thirdAndLong,14,0,78,86
2022,00-0036567,SF,redZone,10,0,44,96
2022,00-0037012,SF,redZone,3,0,16,96
2022,00-0035719,SF,insideTen,10,2,27,64
2022,00-0034279,CHI,earlyAndLong,23,0,229,480
2022,00-0034115,SF,earlyAndLong,132,1,726,611
2022,00-0035719,SF,earlyDown,19,0,76,143
2022,00-0037012,SF,thirdAndLong,3,0,22,99
2022,00-0034115,SF,thirdAndLong,10,0,45,99
2022,00-0036945,CHI,earlyAndLong,58,1,410,480
2022,00-0036906,CHI,earlyDown,23,0,105,114
2022,00-0036290,CHI,earlyDown,6,1,69,114
2022,00-0036906,CHI,thirdAndMedium,3,0,19,67
2022,00-0036259,SF,earlyAndLong,24,0,232,611
2022,00-0035719,SF,thirdAndMedium,10,1,82,61
2022,00-0034115,SF,insideTen,11,1,40,64
2022,00-0034115,SF,goalLine,9,4,3,42
2022,00-0034860,CHI,thirdAndLong,9,1,77,86
2022,00-0034297,CHI,earlyAndLong,7,0,46,480
2022,00-0036945,CHI,thirdAndLong,15,0,142,86
2022,00-0036945,CHI,thirdAndShort,14,1,145,31
2022,00-0036309,CHI,earlyAndLong,33,0,306,480
2022,00-0034279,CHI,redZone,4,1,32,72
2022,00-0037012,SF,earlyAndLong,3,0,8,611
2022,00-0036945,CHI,redZone,10,0,42,72
2022,00-0036906,CHI,redZone,14,2,61,72
2022,00-0036906,CHI,goalLine,6,2,2,24
2022,00-0034073,SF,earlyAndLong,3,1,38,611
2022,00-0034407,SF,thirdAndLong,7,0,52,99
2022,00-0034383,DAL,earlyAndLong,59,1,402,622
2022,00-0033045,DAL,earlyDown,43,0,148,147
2022,00-0035261,DAL,earlyAndLong,167,2,911,622
2022,00-0037570,DAL,earlyAndLong,4,0,16,622
2022,00-0036358,DAL,thirdAndLong,26,1,269,100
2022,00-0033045,DAL,earlyAndLong,147,0,520,622
2022,00-0036358,DAL,earlyAndLong,97,1,869,622
2022,00-0033591,DAL,thirdAndLong,11,0,97,100
2022,00-0034383,DAL,thirdAndLong,10,0,91,100
2022,00-0033921,TB,earlyAndLong,79,0,601,608
2022,00-0033856,TB,earlyAndLong,155,0,687,608
2022,00-0031408,TB,earlyAndLong,67,2,693,608
2022,00-0033856,TB,earlyDown,41,0,209,150
2022,00-0033856,TB,thirdAndShort,15,0,53,57
2022,00-0027944,TB,earlyAndLong,24,1,234,608
2022,00-0027944,TB,redZone,10,0,54,80
2022,00-0036358,DAL,thirdAndMedium,15,1,88,70
2022,00-0027944,TB,earlyDown,6,0,34,150
2022,00-0037256,TB,redZone,12,0,31,80
2022,00-0033921,TB,redZone,7,0,44,80
2022,00-0033856,TB,redZone,14,1,54,80
2022,00-0033856,TB,insideTen,14,1,31,63
2022,00-0033077,DAL,earlyAndLong,10,0,54,622
2022,00-0033591,DAL,earlyAndLong,32,0,223,622
2022,00-0031273,TB,thirdAndMedium,3,0,7,69
2022,00-0032054,TB,earlyAndLong,6,0,38,608
2022,00-0031273,TB,earlyAndLong,18,0,72,608
2022,00-0032054,TB,thirdAndLong,7,0,23,93
2022,00-0037256,TB,earlyAndLong,118,0,557,608
2022,00-0031408,TB,thirdAndMedium,18,1,235,69
2022,00-0031408,TB,earlyDown,14,0,99,150
2022,00-0031408,TB,insideTen,4,1,5,63
2022,00-0035261,DAL,thirdAndMedium,8,0,22,70
2022,00-0034411,TB,earlyAndLong,33,0,230,608
2022,00-0037256,TB,earlyDown,30,0,94,150
2022,00-0037256,TB,thirdAndShort,15,0,52,57
2022,00-0032054,TB,thirdAndMedium,3,1,21,69
2022,00-0033555,LV,thirdAndLong,15,0,135,85
2022,00-0035700,LV,thirdAndShort,17,0,56,35
2022,00-0034981,LV,earlyAndLong,34,0,311,529
2022,00-0033555,LV,earlyAndLong,41,1,283,529
2022,00-0033555,LV,insideTen,6,2,17,45
2022,00-0035700,LV,goalLine,10,4,5,23
2022,00-0035662,ARI,thirdAndLong,9,0,72,95
2022,00-0034981,LV,earlyDown,5,0,41,139
2022,00-0033555,LV,earlyDown,13,1,99,139
2022,00-0034983,LV,earlyAndLong,20,0,146,529
2022,00-0031381,LV,redZone,10,0,21,68
2022,00-0030061,ARI,earlyDown,8,0,41,132
2022,00-0033553,ARI,thirdAndLong,11,0,56,95
2022,00-0032104,LV,thirdAndLong,17,0,138,85
2022,00-0031610,LV,goalLine,3,1,3,23
2022,00-0035662,ARI,thirdAndShort,5,1,33,35
2022,00-0031280,LV,earlyAndLong,6,0,52,529
2022,00-0034301,ARI,earlyAndLong,12,0,66,571
2022,00-0031610,LV,thirdAndLong,5,0,45,85
2022,00-0034301,ARI,earlyDown,6,0,11,132
2022,00-0030061,ARI,thirdAndMedium,5,0,37,69
2022,00-0036383,ARI,insideTen,5,1,7,46
2022,00-0035500,ARI,insideTen,4,2,18,46
2022,00-0034983,LV,redZone,4,2,34,68
2022,00-0035228,ARI,earlyDown,7,0,45,132
2022,00-0035876,ARI,earlyAndLong,5,0,18,571
2022,00-0036383,ARI,redZone,13,1,83,79
2022,00-0030061,ARI,redZone,5,0,14,79
2022,00-0034981,LV,thirdAndLong,3,0,24,85
2022,00-0035662,ARI,fourthDown,8,0,42,34
2022,00-0035228,ARI,goalLine,3,1,1,26
2022,00-0030061,ARI,chasingLate,7,0,59,50
2022,00-0035662,ARI,chasingLate,3,0,14,50
2022,00-0035228,ARI,chasingLate,5,0,41,50
2022,00-0027942,ARI,insideTen,4,1,8,46
2022,00-0032725,ARI,earlyAndLong,5,0,3,571
2022,00-0037263,ATL,earlyAndLong,120,1,698,478
2022,00-0032268,ATL,thirdAndLong,4,0,52,80
2022,00-0037238,ATL,earlyDown,15,0,113,145
2022,00-0037263,ATL,redZone,22,0,103,89
2022,00-0031428,LA,earlyAndLong,14,0,130,477
2022,00-0036414,LA,insideTen,10,2,28,49
2022,00-0033110,LA,insideTen,9,3,31,49
2022,00-0031428,LA,goalLine,4,1,1,20
2022,00-0037263,ATL,thirdAndShort,9,0,60,30
2022,00-0030578,ATL,fourthDown,3,0,6,14
2022,00-0036414,LA,redZone,14,1,55,62
2022,00-0036829,ATL,earlyAndLong,48,0,234,478
2022,00-0037263,ATL,insideTen,13,2,40,53
2022,00-0037238,ATL,redZone,7,1,46,89
2022,00-0033908,LA,earlyDown,18,0,156,129
2022,00-0033908,LA,goalLine,3,1,3,20
2022,00-0036414,LA,thirdAndShort,10,0,80,32
2022,00-0036950,ATL,thirdAndLong,4,0,21,80
2022,00-0037238,ATL,insideTen,6,2,11,53
2022,00-0033908,LA,redZone,6,2,61,62
2022,00-0037263,ATL,earlyDown,34,0,133,145
2022,00-0035208,ATL,redZone,3,2,30,89
2022,00-0031428,LA,thirdAndMedium,11,0,61,63
2022,00-0037238,ATL,goalLine,4,1,4,28
2022,00-0037238,ATL,chasingLate,8,0,49,32
2022,00-0037263,ATL,chasingLate,7,0,43,32
2022,00-0035664,LA,thirdAndLong,7,0,45,88
2022,00-0036913,NYG,redZone,5,1,40,69
2022,00-0032385,NYG,thirdAndLong,4,0,14,98
2022,00-0034844,NYG,thirdAndMedium,11,0,62,81
2022,00-0035710,NYG,fourthDown,4,0,24,23
2022,00-0034613,NYG,thirdAndMedium,3,0,11,81
2022,00-0035710,NYG,goalLine,5,3,-1,30
2022,00-0033280,CAR,fourthDown,3,0,6,16
2022,00-0035956,CAR,earlyAndLong,4,0,58,482
2022,00-0036572,CAR,redZone,4,2,32,74
2022,00-0033308,NYG,thirdAndLong,5,0,26,98
2022,00-0034365,CAR,thirdAndMedium,4,0,25,57
2022,00-0036438,CAR,earlyAndLong,3,0,13,482
2022,00-0034613,NYG,thirdAndLong,4,0,31,98
2022,00-0034827,CAR,redZone,7,2,42,74
2022,00-0034613,NYG,earlyAndLong,5,0,53,609
2022,00-0038115,NYG,redZone,5,1,39,69
2022,00-0035710,NYG,earlyDown,21,0,152,161
2022,00-0035359,NYG,earlyAndLong,7,0,45,609
2022,00-0036572,CAR,thirdAndShort,3,0,24,30
2022,00-0035710,NYG,thirdAndLong,8,0,57,98
2022,00-0035710,NYG,thirdAndShort,9,0,50,31
2022,00-0032688,CAR,chasingLate,3,0,6,41
2022,00-0034521,GB,thirdAndLong,15,0,185,74
2022,00-0034521,GB,redZone,8,2,55,89
2022,00-0035685,CHI,redZone,20,0,69,72
2022,00-0036945,CHI,goalLine,7,4,13,24
2022,00-0023459,GB,earlyAndLong,7,0,25,514
2022,00-0036265,GB,redZone,13,1,64,89
2022,00-0033293,GB,redZone,27,2,98,89
2022,00-0028002,GB,thirdAndLong,4,0,61,74
2022,00-0036290,CHI,earlyAndLong,32,0,205,480
2022,00-0034279,CHI,thirdAndLong,3,0,36,86
2022,00-0034521,GB,insideTen,9,3,15,49
2022,00-0035685,CHI,insideTen,14,4,63,41
2022,00-0036945,CHI,insideTen,7,1,14,41
2022,00-0023459,GB,thirdAndShort,3,0,6,44
2022,00-0034279,CHI,chasingLate,4,0,6,49
2022,00-0036265,GB,aheadLate,3,0,6,6
2022,00-0036265,GB,thirdAndMedium,8,0,25,50
2022,00-0035261,DAL,earlyDown,42,1,221,147
2022,00-0036358,DAL,thirdAndShort,5,0,58,55
2022,00-0036358,DAL,redZone,14,3,116,84
2022,00-0033591,DAL,insideTen,4,1,13,57
2022,00-0035261,DAL,goalLine,6,2,4,34
2022,00-0033591,DAL,thirdAndMedium,8,0,87,70
2022,00-0035261,DAL,thirdAndLong,8,1,84,100
2022,00-0036410,CIN,earlyDown,16,0,137,178
2022,00-0036410,CIN,thirdAndMedium,9,1,80,63
2022,00-0036410,CIN,thirdAndLong,12,1,152,96
2022,00-0033045,DAL,thirdAndLong,7,0,43,100
2022,00-0036358,DAL,earlyDown,19,1,146,147
2022,00-0034830,CIN,thirdAndShort,5,0,33,39
2022,00-0035771,CIN,earlyAndLong,15,0,90,609
2022,00-0033526,CIN,redZone,17,2,56,103
2022,00-0036410,CIN,redZone,8,1,44,103
2022,00-0036410,CIN,insideTen,6,3,19,65
2022,00-0033591,DAL,earlyDown,7,0,32,147
2022,00-0037258,HOU,thirdAndShort,12,0,13,39
2022,00-0034348,DEN,earlyDown,13,0,120,127
2022,00-0036554,HOU,thirdAndMedium,6,0,9,54
2022,00-0037272,DEN,earlyAndLong,10,0,27,574
2022,00-0034348,DEN,goalLine,3,0,0,24
2022,00-0033576,DEN,earlyAndLong,13,1,97,574
2022,00-0032144,DEN,thirdAndLong,4,0,10,113
2022,00-0033879,HOU,earlyAndLong,13,0,107,486
2022,00-0034348,DEN,redZone,8,1,45,38
2022,00-0037258,HOU,redZone,18,0,46,77
2022,00-0036554,HOU,redZone,5,1,16,77
2022,00-0037258,HOU,insideTen,10,0,18,45
2022,00-0031236,HOU,insideTen,4,1,6,45
2022,00-0034348,DEN,fourthDown,3,0,6,21
2022,00-0036439,DEN,earlyAndLong,3,0,28,574
2022,00-0035864,DEN,earlyAndLong,19,0,180,574
2022,00-0036554,HOU,chasingLate,4,0,48,49
2022,00-0033439,HOU,thirdAndLong,4,0,31,100
2022,00-0031236,HOU,fourthDown,5,0,87,19
2022,00-0035021,IND,thirdAndMedium,3,0,25,71
2022,00-0035021,IND,thirdAndLong,3,0,28,87
2022,00-0033881,JAX,thirdAndMedium,12,1,55,68
2022,00-0033891,JAX,fourthDown,7,0,55,25
2022,00-0035831,JAX,thirdAndShort,7,0,16,40
2022,00-0034775,JAX,insideTen,9,7,49,62
2022,00-0036876,IND,thirdAndLong,7,0,60,87
2022,00-0033881,JAX,thirdAndLong,12,0,97,89
2022,00-0036973,JAX,thirdAndLong,14,0,90,89
2022,00-0036228,IND,earlyAndLong,4,0,24,551
2022,00-0033217,IND,thirdAndMedium,3,0,0,71
2022,00-0036971,JAX,earlyAndLong,15,0,120,584
2022,00-0035831,JAX,insideTen,8,1,8,62
2022,00-0033217,IND,insideTen,3,2,11,51
2022,00-0034367,IND,thirdAndLong,6,0,38,87
2022,00-0036482,IND,insideTen,3,0,0,51
2022,00-0035639,IND,insideTen,5,2,16,51
2022,00-0033891,JAX,thirdAndLong,13,0,104,89
2022,00-0035639,IND,chasingLate,8,0,40,59
2022,00-0036973,JAX,aheadLate,3,0,9,7
2022,00-0036973,JAX,fourthDown,3,0,27,25
2022,00-0036493,IND,chasingLate,5,0,15,59
2022,00-0031595,KC,thirdAndShort,4,0,5,41
2022,00-0031595,KC,earlyAndLong,3,0,11,631
2022,00-0031763,LAC,thirdAndShort,4,0,25,56
2022,00-0036988,LAC,earlyDown,17,1,149,134
2022,00-0036637,KC,earlyDown,7,0,61,176
2022,00-0031376,KC,insideTen,12,4,49,88
2022,00-0037197,KC,thirdAndShort,5,0,15,41
2022,00-0036370,LAC,redZone,7,0,21,110
2022,00-0033699,LAC,redZone,42,4,236,110
2022,00-0033536,LAC,redZone,13,3,73,110
2022,00-0036637,KC,earlyAndLong,25,0,220,631
2022,00-0034386,KC,thirdAndLong,6,1,97,79
2022,00-0037331,LAC,earlyAndLong,3,0,3,600
2022,00-0035140,KC,thirdAndLong,5,0,75,79
2022,00-0034386,KC,earlyAndLong,21,0,135,631
2022,00-0031376,KC,goalLine,11,3,8,49
2022,00-0030506,KC,goalLine,10,4,9,49
2022,00-0033895,LAC,earlyDown,10,0,107,134
2022,00-0034272,KC,thirdAndMedium,4,0,0,53
2022,00-0031376,KC,redZone,19,1,76,116
2022,00-0033699,LAC,chasingLate,7,0,45,23
2022,00-0031763,LAC,fourthDown,4,0,41,19
2022,00-0033699,LAC,insideTen,30,5,57,69
2022,00-0036988,LAC,insideTen,4,2,13,69
2022,00-0034829,MIA,thirdAndLong,8,0,18,107
2022,00-0033376,BAL,thirdAndShort,4,0,9,45
2022,00-0034796,BAL,goalLine,3,1,1,26
2022,00-0034798,MIA,redZone,3,0,5,75
2022,00-0036613,MIA,insideTen,6,3,26,35
2022,00-0034796,BAL,earlyDown,10,0,69,129
2022,00-0034753,BAL,goalLine,4,1,2,26
2022,00-0036613,MIA,thirdAndMedium,11,2,212,42
2022,00-0037838,BAL,earlyDown,7,0,88,129
2022,00-0036613,MIA,redZone,4,1,18,75
2022,00-0034829,MIA,redZone,6,2,58,75
2022,00-0034829,MIA,insideTen,6,3,23,35
2022,00-0034796,BAL,thirdAndMedium,4,0,30,49
2022,00-0034796,BAL,fourthDown,4,0,12,17
2022,00-0034829,MIA,earlyAndLong,24,0,219,567
2022,00-0033040,MIA,thirdAndLong,23,1,225,107
2022,00-0036613,MIA,chasingLate,6,0,89,35
2022,00-0033040,MIA,chasingLate,7,0,82,35
2022,00-0034681,MIA,chasingLate,5,0,61,35
2022,00-0034753,BAL,chasingLate,7,0,59,34
2022,00-0034351,PHI,earlyDown,8,0,75,165
2022,00-0035676,PHI,thirdAndLong,17,1,129,91
2022,00-0034414,PHI,earlyDown,7,0,19,165
2022,00-0034351,PHI,redZone,10,1,66,110
2022,00-0036271,PHI,earlyAndLong,33,3,277,649
2022,00-0029604,MIN,earlyAndLong,5,0,26,564
2022,00-0034970,MIN,goalLine,3,3,6,40
2022,00-0033251,PHI,thirdAndLong,4,0,26,91
2022,00-0036389,PHI,thirdAndShort,20,1,101,49
2022,00-0036322,MIN,redZone,12,1,68,90
2022,00-0030035,MIN,thirdAndLong,7,0,30,102
2022,00-0036919,PHI,thirdAndLong,13,1,131,91
2022,00-0034970,MIN,thirdAndLong,11,0,45,102
2022,00-0036387,MIN,earlyAndLong,9,0,72,564
2022,00-0030035,MIN,insideTen,6,1,9,72
2022,00-0036387,MIN,chasingLate,3,0,9,44
2022,00-0033893,MIN,chasingLate,3,1,70,44
2022,00-0030035,MIN,chasingLate,9,0,80,44
2022,00-0036322,MIN,chasingLate,4,0,71,44
2022,00-0034972,MIN,chasingLate,5,0,31,44
2022,00-0035406,NE,earlyAndLong,3,0,20,524
2022,00-0033090,NE,redZone,4,0,13,57
2022,00-0033869,PIT,earlyAndLong,3,0,22,549
2022,00-0037228,PIT,earlyDown,19,0,126,138
2022,00-0036894,PIT,earlyDown,9,0,67,138
2022,00-0032897,PIT,thirdAndShort,7,0,18,44
2022,00-0036893,PIT,earlyDown,58,0,242,138
2022,00-0036893,PIT,thirdAndShort,8,0,16,44
2022,00-0036894,PIT,thirdAndLong,13,0,60,91
2022,00-0036972,NE,thirdAndShort,5,0,13,33
2022,00-0036972,NE,earlyAndLong,7,0,45,524
2022,00-0033307,NE,earlyDown,7,0,59,115
2022,00-0031549,NE,thirdAndMedium,5,1,85,54
2022,00-0036875,NE,thirdAndLong,20,1,150,93
2022,00-0037228,PIT,thirdAndLong,8,0,71,91
2022,00-0035657,NE,goalLine,3,2,4,25
2022,00-0035645,PIT,earlyAndLong,11,0,46,549
2022,00-0036893,PIT,redZone,22,1,92,80
2022,00-0037228,PIT,redZone,13,0,51,80
2022,00-0036894,PIT,insideTen,5,2,18,43
2022,00-0035216,PIT,goalLine,4,0,4,32
2022,00-0036893,PIT,thirdAndLong,7,0,29,91
2022,00-0035657,NE,redZone,8,0,29,57
2022,00-0034270,NYJ,thirdAndShort,5,0,23,36
2022,00-0033885,CLE,earlyDown,13,0,113,123
2022,00-0033119,CLE,redZone,6,0,19,92
2022,00-0033885,CLE,redZone,13,2,66,92
2022,00-0037740,NYJ,thirdAndShort,4,0,3,36
2022,00-0038120,NYJ,thirdAndShort,4,0,32,36
2022,00-0033923,CLE,insideTen,10,0,31,48
2022,00-0031544,CLE,insideTen,5,3,17,48
2022,00-0037257,CLE,thirdAndLong,8,0,47,98
2022,00-0036980,NYJ,earlyDown,5,0,63,109
2022,00-0035537,NYJ,earlyAndLong,27,1,102,534
2022,00-0037740,NYJ,thirdAndMedium,13,0,183,52
2022,00-0033119,CLE,thirdAndShort,5,0,12,37
2022,00-0033885,CLE,insideTen,7,2,21,48
2022,00-0036232,CLE,insideTen,3,0,8,48
2022,00-0036980,NYJ,thirdAndLong,11,0,126,113
2022,00-0033885,CLE,earlyAndLong,31,0,268,536
2022,00-0031544,CLE,thirdAndShort,4,0,41,37
2022,00-0034270,NYJ,chasingLate,10,0,64,58
2022,00-0033871,NYJ,chasingLate,5,1,128,58
2022,00-0036924,NYJ,chasingLate,8,0,55,58
2022,00-0035537,NYJ,chasingLate,3,0,17,58
2022,00-0037740,NYJ,redZone,10,1,27,76
2022,00-0034115,SF,earlyDown,32,0,89,143
2022,00-0037827,SF,earlyAndLong,16,0,68,611
2022,00-0037827,SF,insideTen,3,0,0,64
2022,00-0038134,SEA,thirdAndShort,12,0,21,34
2022,00-0035640,SEA,thirdAndMedium,10,2,172,45
2022,00-0036261,SF,redZone,13,3,63,96
2022,00-0032211,SEA,earlyDown,14,1,101,145
2022,00-0038134,SEA,earlyAndLong,152,1,780,545
2022,00-0038134,SEA,thirdAndLong,6,0,16,92
2022,00-0036261,SF,thirdAndLong,19,0,157,99
2022,00-0038134,SEA,redZone,38,5,156,105
2022,00-0035640,SEA,insideTen,9,2,12,47
2022,00-0034115,SF,redZone,15,1,81,96
2022,00-0029892,SF,goalLine,3,2,4,42
2022,00-0031345,SF,goalLine,4,2,3,42
2022,00-0034407,SF,earlyAndLong,13,1,176,611
2022,00-0037828,SF,earlyAndLong,5,0,9,611
2022,00-0029892,SF,thirdAndLong,5,0,40,99
2022,00-0030565,SEA,thirdAndMedium,3,0,13,45
2022,00-0037827,SF,earlyDown,5,0,12,143
2022,00-0035719,SF,thirdAndLong,11,0,132,99
2022,00-0034115,SF,thirdAndMedium,4,0,28,61
2022,00-0035640,SEA,chasingLate,4,0,33,35
2022,00-0035594,SEA,chasingLate,3,0,20,35
2022,00-0036727,NO,earlyAndLong,3,0,9,501
2022,00-0035860,NO,earlyAndLong,13,0,35,501
2022,00-0032765,NO,earlyDown,3,0,29,140
2022,00-0033357,NO,earlyDown,22,0,120,140
2022,00-0027966,NO,redZone,6,0,21,81
2022,00-0037239,NO,redZone,9,1,54,81
2022,00-0035298,TB,thirdAndLong,3,0,29,93
2022,00-0019596,TB,thirdAndShort,3,0,2,57
2022,00-0032450,NO,earlyAndLong,6,0,28,501
2022,00-0038129,TB,earlyDown,7,0,43,150
2022,00-0034411,TB,thirdAndLong,4,0,19,93
2022,00-0038129,TB,earlyAndLong,30,0,222,608
2022,00-0035298,TB,earlyDown,6,0,41,150
2022,00-0035298,TB,earlyAndLong,18,0,58,608
2022,00-0027966,NO,thirdAndShort,4,0,21,39
