season,player,team,situation,touches,scores,yards,teamPlays
2021,00-0026189,LA,earlyAndLong,19,1,226,644
2021,00-0026498,LA,earlyAndLong,10,0,36,644
2021,00-0036415,LA,thirdAndMedium,5,0,5,66
2021,00-0030874,CHI,earlyAndLong,31,0,132,522
2021,00-0030068,CHI,earlyAndLong,22,0,152,522
2021,00-0031868,CHI,thirdAndLong,4,0,40,92
2021,00-0033110,LA,earlyAndLong,44,0,388,644
2021,00-0030431,LA,earlyAndLong,38,0,315,644
2021,00-0035664,LA,thirdAndShort,8,0,28,45
2021,00-0035664,LA,redZone,20,0,87,129
2021,00-0035664,LA,goalLine,9,5,5,42
2021,00-0033908,LA,insideTen,18,7,63,83
2021,00-0030431,LA,insideTen,4,0,5,83
2021,00-0031868,CHI,earlyDown,4,0,17,118
2021,00-0031428,CHI,thirdAndShort,4,0,57,36
2021,00-0030431,LA,thirdAndLong,7,0,85,89
2021,00-0036290,CHI,earlyAndLong,45,0,305,522
2021,00-0031428,CHI,earlyDown,6,0,30,118
2021,00-0031428,CHI,redZone,5,1,30,84
2021,00-0035685,CHI,redZone,25,0,73,84
2021,00-0027973,CHI,redZone,3,0,17,84
2021,00-0035685,CHI,goalLine,8,5,8,21
2021,00-0031428,CHI,thirdAndMedium,7,0,63,46
2021,00-0030068,CHI,earlyDown,4,0,40,118
2021,00-0030874,CHI,earlyDown,8,0,54,118
2021,00-0027696,CHI,redZone,4,2,43,84
2021,00-0033908,LA,earlyDown,26,1,352,155
2021,00-0033110,LA,thirdAndMedium,10,0,59,66
2021,00-0033908,LA,redZone,27,7,197,129
2021,00-0035685,CHI,thirdAndShort,14,0,30,36
2021,00-0036290,CHI,thirdAndLong,14,0,93,92
2021,00-0036309,CHI,fourthDown,3,0,6,25
2021,00-0035664,LA,earlyDown,26,0,132,155
2021,00-0033908,LA,thirdAndLong,19,1,369,89
2021,00-0034845,LA,earlyAndLong,147,0,738,644
2021,00-0033110,LA,insideTen,7,2,29,83
2021,00-0035664,LA,insideTen,9,2,29,83
2021,00-0030431,LA,goalLine,4,2,6,42
2021,00-0031428,CHI,chasingLate,4,0,14,58
2021,00-0031868,CHI,chasingLate,4,0,45,58
2021,00-0030874,CHI,chasingLate,3,0,4,58
2021,00-0034791,CLE,earlyAndLong,157,2,795,531
2021,00-0032392,CLE,earlyDown,8,0,84,120
2021,00-0034855,CLE,earlyAndLong,13,0,46,531
2021,00-0033885,CLE,earlyAndLong,23,0,222,531
2021,00-0032392,CLE,thirdAndLong,7,0,12,101
2021,00-0032392,CLE,redZone,7,1,56,86
2021,00-0034791,CLE,insideTen,17,3,47,50
2021,00-0033923,CLE,goalLine,5,3,8,28
2021,00-0036360,KC,earlyAndLong,100,0,476,650
2021,00-0030506,KC,earlyAndLong,82,2,871,650
2021,00-0030506,KC,earlyDown,16,0,74,184
2021,00-0033040,KC,earlyAndLong,90,2,801,650
2021,00-0033040,KC,redZone,22,1,96,124
2021,00-0032775,KC,redZone,3,0,13,124
2021,00-0036999,CLE,earlyAndLong,15,0,135,531
2021,00-0036232,CLE,earlyAndLong,17,0,192,531
2021,00-0033923,CLE,redZone,13,0,29,86
2021,00-0033885,CLE,redZone,4,2,48,86
2021,00-0033923,CLE,insideTen,4,1,15,50
2021,00-0031382,CLE,insideTen,6,2,19,50
2021,00-0036360,KC,earlyDown,31,0,179,184
2021,00-0031595,KC,thirdAndShort,6,0,15,44
2021,00-0035140,KC,earlyAndLong,56,1,466,650
2021,00-0033040,KC,thirdAndLong,15,0,166,83
2021,00-0034297,KC,earlyAndLong,28,0,217,650
2021,00-0033040,KC,thirdAndMedium,18,1,181,60
2021,00-0033873,KC,insideTen,7,3,37,72
2021,00-0036999,CLE,earlyDown,3,0,18,120
2021,00-0031382,CLE,earlyAndLong,45,1,295,531
2021,00-0031382,CLE,earlyDown,13,0,74,120
2021,00-0034791,CLE,redZone,19,1,93,86
2021,00-0033040,KC,earlyDown,28,0,157,184
2021,00-0033923,CLE,earlyAndLong,52,0,284,531
2021,00-0033923,CLE,earlyDown,14,0,75,120
2021,00-0031382,CLE,fourthDown,3,0,45,15
2021,00-0035140,KC,earlyDown,16,0,200,184
2021,00-0033873,KC,thirdAndLong,7,0,69,83
2021,00-0033873,KC,redZone,11,0,62,124
2021,00-0030506,KC,redZone,9,1,59,124
2021,00-0034791,CLE,earlyDown,39,1,437,120
2021,00-0032062,KC,earlyDown,4,0,9,184
2021,00-0034301,KC,redZone,19,0,34,124
2021,00-0032775,KC,thirdAndLong,6,0,33,83
2021,00-0033885,CLE,earlyDown,8,1,139,120
2021,00-0033885,CLE,thirdAndLong,8,0,28,101
2021,00-0036360,KC,redZone,8,0,37,124
2021,00-0036360,KC,insideTen,7,3,38,72
2021,00-0030506,KC,insideTen,9,5,43,72
2021,00-0036360,KC,goalLine,5,3,3,48
2021,00-0036999,CLE,thirdAndLong,6,0,0,101
2021,00-0033040,KC,thirdAndShort,3,0,51,44
2021,00-0033923,CLE,chasingLate,4,0,30,32
2021,00-0033856,TB,earlyAndLong,159,2,862,591
2021,00-0033856,TB,earlyDown,37,0,202,172
2021,00-0033921,TB,thirdAndShort,8,0,49,47
2021,00-0031544,DAL,earlyAndLong,52,2,425,584
2021,00-0033045,DAL,earlyAndLong,168,0,743,584
2021,00-0034383,DAL,earlyDown,11,0,87,147
2021,00-0033045,DAL,thirdAndShort,18,0,62,46
2021,00-0036358,DAL,earlyAndLong,71,1,793,584
2021,00-0036358,DAL,thirdAndLong,13,1,144,83
2021,00-0034816,TB,earlyAndLong,70,0,368,591
2021,00-0031408,TB,earlyDown,18,0,101,172
