season,kind,yardline,togo,down,call,length,made
2021,play,52,10,1,pass,0,0
2021,play,43,1,2,run,0,0
2021,play,43,1,3,pass,0,0
2021,play,19,10,1,pass,0,0
2021,play,19,10,2,pass,0,0
2021,play,2,2,1,run,0,0
2021,play,75,10,1,run,0,0
2021,play,74,9,2,pass,0,0
2021,play,61,10,1,run,0,0
2021,play,45,10,1,run,0,0
2021,play,42,7,2,pass,0,0
2021,play,38,3,3,run,0,0
2021,play,36,1,4,run,0,0
2021,play,64,10,1,pass,0,0
2021,play,64,10,2,pass,0,0
2021,play,49,10,1,pass,0,0
2021,play,49,10,2,pass,0,0
2021,play,49,10,3,pass,0,0
2021,play,36,10,1,pass,0,0
2021,play,29,3,2,pass,0,0
2021,play,14,10,1,pass,0,0
2021,kick,16,0,0,,34,1
2021,play,75,10,1,pass,0,0
2021,play,65,10,1,pass,0,0
2021,play,60,10,1,run,0,0
2021,play,56,6,2,pass,0,0
2021,play,56,6,3,pass,0,0
2021,play,93,10,1,run,0,0
2021,play,91,8,2,pass,0,0
2021,play,98,15,3,run,0,0
2021,play,38,10,1,pass,0,0
2021,play,38,10,2,run,0,0
2021,play,27,10,1,run,0,0
2021,play,21,4,2,run,0,0
2021,play,22,5,3,pass,0,0
2021,kick,22,0,0,,40,1
2021,play,80,10,1,run,0,0
2021,play,76,6,2,pass,0,0
2021,play,50,20,1,pass,0,0
2021,play,38,8,2,pass,0,0
2021,play,22,10,1,pass,0,0
2021,play,20,8,2,pass,0,0
2021,play,17,5,3,pass,0,0
2021,play,13,1,4,run,0,0
2021,play,87,10,1,run,0,0
2021,play,72,10,1,pass,0,0
2021,play,66,4,2,run,0,0
2021,play,73,11,2,pass,0,0
2021,play,69,7,3,pass,0,0
2021,play,59,10,1,pass,0,0
2021,play,64,15,2,pass,0,0
2021,play,77,28,3,pass,0,0
2021,play,81,10,1,pass,0,0
2021,play,68,10,1,run,0,0
2021,play,64,6,2,run,0,1
2021,play,41,10,1,pass,0,0
2021,play,37,6,2,pass,0,0
2021,play,32,1,3,run,0,0
2021,play,31,10,1,pass,0,0
2021,play,15,10,1,run,0,0
2021,play,75,10,1,run,0,0
2021,play,73,8,2,pass,0,0
2021,play,67,2,3,run,0,0
2021,play,62,10,1,run,0,0
2021,play,57,5,2,pass,0,0
2021,play,8,8,1,run,0,0
2021,play,75,10,1,pass,0,0
2021,play,66,1,2,run,0,0
2021,play,63,10,1,pass,0,0
2021,play,56,3,2,pass,0,0
2021,play,47,10,1,pass,0,0
2021,play,47,10,2,pass,0,0
2021,play,47,10,3,pass,0,0
2021,play,20,20,1,pass,0,0
2021,play,10,10,2,pass,0,0
2021,play,75,10,1,run,0,0
