season,player,spot,targets,completions,yards,touchdowns,interceptions,brokenUp
2025,00-0036374,CB,14,11,136,0,0,3
2025,00-0038125,CB,26,23,272,0,1,3
2025,00-0039372,CB,27,24,172,0,0,3
2025,00-0037549,CB,34,27,365,0,0,7
2025,00-0038552,CB,69,51,621,0,1,18
2025,00-0035632,S,8,0,0,0,0,8
2025,00-0036874,CB,42,32,324,0,1,10
2025,00-0037034,CB,53,40,357,0,3,13
2025,00-0033884,CB,30,18,161,0,1,12
2025,00-0040195,CB,34,23,241,0,3,11
2025,00-0038984,CB,8,6,82,0,0,2
2025,00-0036292,CB,18,14,254,0,1,4
2025,00-0036589,CB,16,14,110,0,0,2
2025,00-0039141,S,8,0,0,0,0,8
2025,00-0039234,CB,8,6,31,0,1,2
2025,00-0040636,CB,8,7,35,0,0,1
2025,00-0040720,CB,22,17,156,0,1,5
2025,00-0037384,CB,39,31,292,0,3,8
2025,00-0037753,CB,11,6,60,0,0,5
2025,00-0035378,S,8,0,0,0,1,8
2025,00-0036380,S,9,0,0,0,0,9
2025,00-0036625,CB,25,18,188,0,1,7
2025,00-0034203,CB,29,21,302,0,1,8
2025,00-0037841,S,12,0,0,0,1,12
2025,00-0039465,CB,31,28,279,0,0,3
2025,00-0039000,CB,21,16,169,0,0,5
2025,00-0040670,CB,19,12,128,0,0,7
2025,00-0038136,S,9,0,0,0,4,8
2025,00-0038121,CB,51,40,343,0,2,11
2025,00-0036563,CB,37,32,305,0,2,5
2025,00-0039898,CB,50,38,427,0,4,11
2025,00-0036388,S,12,0,0,0,2,12
2025,00-0036871,CB,13,11,127,0,0,2
2025,00-0040251,CB,14,11,118,0,1,3
2025,00-0038135,S,9,0,0,0,1,9
2025,00-0033132,S,8,0,0,0,7,7
2025,00-0036564,S,12,0,0,0,0,12
2025,00-0039838,S,11,0,0,0,5,10
2025,00-0037246,S,12,0,0,0,4,12
2025,00-0034278,CB,10,8,108,0,0,2
2025,00-0038596,S,9,0,0,0,5,8
2025,00-0038119,CB,13,11,107,0,0,2
2025,00-0039324,CB,14,11,117,0,1,3
2025,00-0040178,CB,12,8,112,0,1,4
2025,00-0040747,CB,17,13,177,0,0,4
2025,00-0040133,CB,17,10,129,0,0,7
2025,00-0035795,CB,23,12,89,0,1,11
2025,00-0039770,CB,8,7,69,0,0,1
2025,00-0039147,CB,66,50,515,0,1,16
2025,00-0040716,S,9,0,0,0,1,9
2025,00-0040347,CB,19,16,303,0,0,3
2025,00-0038594,CB,12,12,163,0,0,0
2025,00-0037313,CB,45,33,338,0,2,12
2025,00-0039872,S,8,0,0,0,4,7
2025,00-0040166,CB,31,21,236,0,1,10
2025,00-0039140,CB,14,13,186,0,0,1
2025,00-0035637,CB,28,19,208,0,0,9
2025,00-0034377,CB,17,13,210,0,1,4
2025,00-0040641,CB,22,19,295,0,0,3
2025,00-0034145,CB,10,7,48,0,1,3
2025,00-0040296,CB,10,7,52,0,0,3
2025,00-0036307,CB,12,9,102,0,1,3
2025,00-0033503,CB,12,10,116,0,1,2
2025,00-0040733,S,15,0,0,0,1,14
2025,00-0038585,CB,12,8,85,0,0,4
2025,00-0039772,CB,14,11,103,0,1,3
2025,00-0038111,CB,11,9,65,0,0,2
2025,00-0029606,S,8,0,0,0,2,8
2025,00-0038642,CB,10,7,92,0,0,3
2025,00-0038620,CB,10,9,87,0,0,1
2025,00-0039371,CB,15,14,124,0,0,1
2025,00-0038407,CB,11,7,94,0,0,4
2025,00-0040709,CB,13,8,84,0,2,5
2025,00-0040201,CB,18,13,183,0,0,5
2025,00-0033918,CB,13,11,105,0,0,2
2025,00-0032580,CB,24,19,241,0,0,5
2025,00-0039387,CB,12,10,153,0,0,2
2025,00-0040008,CB,20,17,229,0,0,3
2025,00-0038616,CB,14,11,93,0,0,3
2025,00-0032933,CB,9,7,67,0,0,2
2025,00-0039789,CB,10,7,133,0,0,3
2025,00-0036281,CB,9,6,75,0,1,3
